Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743412140.352187,0.13031673431396484,1.7386057376861572,127.03064107894897,192.168.8.127,1743412140.353539,1743412269.2531025,120,128.90091562271118
envelop_38,1743412140.8528879,0.0025153160095214844,0.1122434139251709,0.10251498222351074,192.168.8.140,1743412142.9268553,1743412143.144129,40,2.29124116897583
fft_39,1743412141.3540053,0.004505157470703125,0.04635930061340332,0.0193178653717041,192.168.8.140,1743412143.5468826,1743412143.617065,40,2.263059616088867
perceptron_40,1743412141.8543148,0.013663768768310547,0.6117286682128906,36.42984700202942,192.168.8.140,1743412144.099942,1743412181.1551814,160,39.30086660385132
floyd_43,1743412143.3580608,0.13231945037841797,1.9960131645202637,9.76386570930481,192.168.8.82,1743412145.229598,1743412157.1217964,40,13.76373553276062
bayes_41,1743412142.355277,1.038496732711792,3.5408787727355957,0.7584550380706787,192.168.8.106,1743412147.8637574,1743412153.201588,40,10.84631085395813
SAT_42,1743412142.8564713,0.0031375885009765625,0.07568073272705078,3.8007194995880127,192.168.8.63,1743412152.953558,1743412156.8330958,40,13.976624488830566
fibonacci_44,1743412143.8591661,0.045823097229003906,1.9906680583953857,4.980108261108398,192.168.8.106,1743412153.5358033,1743412160.5524027,40,16.693236589431763
mengtekaluo_46,1743412144.8647292,0.0008809566497802734,0.040001869201660156,9.75952672958374,192.168.8.63,1743412157.0840123,1743412166.8844218,80,22.01969265937805
lu_extralarge_63,1743412153.3882825,0.07783842086791992,2.16074538230896,255.60160422325134,192.168.8.82,1743412157.626829,1743412415.467017,300,262.0787343978882
PCA_45,1743412144.360689,0.08844614028930664,1.730724573135376,201.22819423675537,192.168.8.106,1743412161.3719628,1743412364.4193277,160,220.05863881111145
correlation_standard_52,1743412147.8717859,0.0015709400177001953,0.05509185791015625,2.024416923522949,192.168.8.63,1743412167.7051425,1743412169.7862222,40,21.91443634033203
covariance_standard_54,1743412148.875894,0.003313302993774414,0.053896188735961914,1.9724047183990479,192.168.8.63,1743412170.2692764,1743412172.2988906,40,23.422996520996094
dynprog_standard_59,1743412151.383573,0.003424406051635742,0.0475306510925293,0.5679242610931396,192.168.8.63,1743412172.8326414,1743412173.4515207,40,22.06794762611389
gramschmidt_standard_60,1743412151.8847394,0.011194705963134766,0.04650378227233887,0.5800061225891113,192.168.8.63,1743412174.3884945,1743412175.026199,40,23.141459703445435
lu_large_62,1743412152.8871968,0.0020914077758789062,0.0471954345703125,5.878997564315796,192.168.8.63,1743412175.950347,1743412181.8786314,40,28.991434574127197
sieve-eratos_47,1743412145.36528,0.0015194416046142578,0.04921841621398926,2.7456798553466797,192.168.8.140,1743412181.5189302,1743412184.315348,40,38.95006799697876
2mm_67,1743412155.3927863,0.0026988983154296875,0.055440425872802734,27.310937643051147,192.168.8.63,1743412182.073478,1743412209.442555,120,54.049768686294556
quick-sort_48,1743412145.867699,0.0015671253204345703,0.05047035217285156,17.7024405002594,192.168.8.140,1743412184.6375027,1743412202.3919806,120,56.5242817401886
