Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1744001991.2339025,0.02351212501525879,0,153.6811876296997,192.168.8.127,1744001991.2369158,1744002144.9416156,120,153.70771312713623
envelop_38,1744001991.7347817,0.004446744918823242,0.17137575149536133,0.10410618782043457,192.168.8.140,1744001991.7694364,1744001992.049365,40,0.31458330154418945
fft_39,1744001992.2365618,0.002073049545288086,0.03582906723022461,0.018659591674804688,192.168.8.140,1744001992.4500453,1744001992.506607,40,0.27004528045654297
perceptron_40,1744001992.7377357,0.01839303970336914,0.699028491973877,36.714367389678955,192.168.8.140,1744001992.9913406,1744002030.4231296,160,37.68539381027222
bayes_41,1744001993.2412229,0.5998184680938721,7.940063238143921,0.7015175819396973,192.168.8.82,1744001994.2114944,1744002003.4528937,40,10.211670875549316
string-sort_49,1744001997.2470777,0.16616106033325195,3.1389105319976807,9.725876092910767,192.168.8.106,1744002003.2589767,1744002016.2899244,40,19.0428466796875
SAT_42,1744001993.742308,0.10830116271972656,2.9144339561462402,28.820019721984863,192.168.8.82,1744002007.121904,1744002038.9646587,40,45.22235083580017
fibonacci_44,1744001994.7440066,0.0022706985473632812,0.054085731506347656,0.9855711460113525,192.168.8.63,1744002010.6517456,1744002011.6936731,40,16.949666500091553
mengtekaluo_46,1744001995.7451339,0.0023686885833740234,0.04937577247619629,9.635672807693481,192.168.8.63,1744002012.2128258,1744002021.900243,80,26.155109167099
string-sort_79,1744002012.2788181,0.1554567813873291,0.0002639293670654297,9.202328205108643,192.168.8.106,1744002016.7740066,1744002026.1320555,40,13.853237390518188
correlation_standard_52,1744001998.7505178,0.004195451736450195,0.06852912902832031,1.9412860870361328,192.168.8.63,1744002022.4452608,1744002024.4592714,40,25.70875358581543
covariance_standard_54,1744001999.7521126,0.0036339759826660156,0.05654144287109375,1.9369659423828125,192.168.8.63,1744002025.02438,1744002027.0215213,40,27.269408702850342
PCA_45,1744001995.2442951,0.09157896041870117,2.4646310806274414,203.59437704086304,192.168.8.106,1744002026.5906007,1744002232.7411878,160,237.49689269065857
dynprog_standard_59,1744002002.2585418,0.002444744110107422,0.06313467025756836,0.5814371109008789,192.168.8.63,1744002029.657412,1744002030.3044286,40,28.045886754989624
sieve-eratos_47,1744001996.2459579,0.006905794143676758,0.05472612380981445,3.2228612899780273,192.168.8.140,1744002031.2275047,1744002034.511998,40,38.266040086746216
gramschmidt_standard_60,1744002002.7593486,0.007366657257080078,0,0.6006553173065186,192.168.8.63,1744002031.794004,1744002032.402026,40,29.642677307128906
lu_large_62,1744002003.7610967,0.0019314289093017578,0.0621187686920166,6.252957582473755,192.168.8.63,1744002033.3056633,1744002039.6226711,40,35.86157441139221
quick-sort_48,1744001996.7463274,0.0020799636840820312,0.07172346115112305,18.01862382888794,192.168.8.140,1744002034.8755748,1744002052.968002,120,56.22167468070984
floyd_43,1744001994.243111,0.20754289627075195,2.20963191986084,9.920541048049927,192.168.8.82,1744002039.4604008,1744002051.7981167,40,57.5550057888031
2mm_67,1744002006.2669501,0.0060198307037353516,0,21.728129386901855,192.168.8.63,1744002042.3847866,1744002064.1189358,120,57.851985692977905
correlation_large_53,1744001999.25127,0.20270586013793945,2.74837589263916,106.55712556838989,192.168.8.82,1744002051.9067771,1744002161.4149845,120,162.1637144088745
durbin_standard_56,1744002000.7550411,0.006079196929931641,0.0676412582397461,0.429887056350708,192.168.8.140,1744002056.4188237,1744002056.9224312,40,56.16739010810852
sieve-eratos_77,1744002011.2774692,0.003256082534790039,0.00019550323486328125,2.8266074657440186,192.168.8.140,1744002056.9958377,1744002059.8258967,40,48.54842758178711
quick-sort_78,1744002011.7784061,0.0020606517791748047,0.0004725456237792969,18.574947595596313,192.168.8.140,1744002060.5065153,1744002079.083996,120,67.3055899143219
envelop_68,1744002006.7681162,0.003762960433959961,0.0004420280456542969,0.09772992134094238,192.168.8.63,1744002065.0166893,1744002065.1186242,40,58.350507974624634
fft_69,1744002007.2687237,0.002721071243286133,0.00036406517028808594,0.017086505889892578,192.168.8.63,1744002065.5229793,1744002065.543151,40,58.27442717552185
perceptron_70,1744002007.770077,0.020597457885742188,0.00028896331787109375,37.539419174194336,192.168.8.63,1744002066.0287223,1744002103.589028,160,95.81895089149475
durbin_standard_86,1744002015.78722,0.0025284290313720703,0.00019049644470214844,0.4301869869232178,192.168.8.140,1744002079.568914,1744002080.0018198,40,64.21459984779358
sieve-eratos_107,1744002026.3134646,0.0029783248901367188,0.0002541542053222656,2.6415562629699707,192.168.8.140,1744002080.0753539,1744002082.7201426,40,56.40667796134949
quick-sort_108,1744002026.814446,0.0046956539154052734,0.00036215782165527344,19.195932865142822,192.168.8.140,1744002083.5871084,1744002102.788099,120,75.97365307807922
durbin_standard_116,1744002030.821581,0.0013670921325683594,0.0001671314239501953,0.44530773162841797,192.168.8.140,1744002103.1261244,1744002103.5729663,40,72.75138545036316
covariance_large_55,1744002000.2530825,0.0026493072509765625,0.062347412109375,55.35546016693115,192.168.8.140,1744002103.630713,1744002159.0511699,120,158.79808735847473
bayes_71,1744002008.2709951,0.016298770904541016,0.18434548377990723,0.032187461853027344,192.168.8.63,1744002104.2000883,1744002104.43292,40,96.16192483901978
SAT_72,1744002008.7726924,0.0045888423919677734,0.04839491844177246,4.232042551040649,192.168.8.63,1744002104.9035757,1744002109.188602,40,100.4159095287323
fibonacci_74,1744002009.7743511,0.0018970966339111328,0.00015926361083984375,1.0562899112701416,192.168.8.63,1744002109.4666371,1744002110.5249834,40,100.75063228607178
