Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743408889.8364453,0.03856801986694336,0,126.66770839691162,192.168.8.127,1743408889.838597,1743409016.5448735,120,126.70842814445496
envelop_38,1743408890.3375225,0.0013492107391357422,0.06976556777954102,0.10210061073303223,192.168.8.140,1743408890.3909109,1743408890.5641263,40,0.22660374641418457
fft_39,1743408890.8388321,0.0012898445129394531,0.04969453811645508,0.02022695541381836,192.168.8.140,1743408890.9644313,1743408891.0356426,40,0.19681048393249512
perceptron_40,1743408891.340686,0.02362680435180664,0.438647985458374,36.21290397644043,192.168.8.140,1743408891.5191154,1743408928.1942942,160,36.85360813140869
bayes_41,1743408891.8425024,0.5027024745941162,3.997931718826294,0.3599517345428467,192.168.8.82,1743408892.4842005,1743408897.3447864,40,5.502284049987793
floyd_43,1743408892.8448327,0.13199234008789062,1.8702101707458496,9.896455764770508,192.168.8.82,1743408897.4918315,1743408909.3904898,40,16.54565715789795
SAT_42,1743408892.343077,0.11348986625671387,1.309220790863037,28.3337299823761,192.168.8.106,1743408900.0014188,1743408929.7578595,40,37.41478252410889
fibonacci_44,1743408893.3459492,0.003920316696166992,0.04760026931762695,0.9583721160888672,192.168.8.63,1743408902.1183364,1743408903.1282291,40,9.782279968261719
correlation_standard_52,1743408897.353515,0.0014202594757080078,0.05142092704772949,2.1062822341918945,192.168.8.63,1743408903.6763635,1743408905.835487,40,8.481971979141235
covariance_standard_54,1743408898.3562655,0.0018510818481445312,0.08742570877075195,2.053145170211792,192.168.8.63,1743408906.2354224,1743408908.3778443,40,10.021578788757324
dynprog_standard_59,1743408900.8601887,0.0016660690307617188,0.05643749237060547,0.5803937911987305,192.168.8.63,1743408908.8315673,1743408909.4700646,40,8.609875917434692
seidel-2d_66,1743408904.3678894,0.09975361824035645,2.2890801429748535,76.28067708015442,192.168.8.82,1743408909.3917506,1743408988.0612614,40,83.69337201118469
gramschmidt_standard_60,1743408901.3608565,0.004322528839111328,0,0.5582664012908936,192.168.8.63,1743408912.2884452,1743408912.8510342,40,11.490177631378174
lu_large_62,1743408902.3632212,0.0018110275268554688,0.05769085884094238,6.44569993019104,192.168.8.63,1743408913.7966552,1743408920.301857,40,17.93863582611084
envelop_68,1743408905.369465,0.00460052490234375,0.0001404285430908203,0.10505795478820801,192.168.8.63,1743408920.3693154,1743408920.4791143,40,15.109649181365967
fft_69,1743408905.8702574,0.0019066333770751953,0.0002627372741699219,0.029610395431518555,192.168.8.63,1743408920.8760698,1743408920.9078496,40,15.03759217262268
bayes_71,1743408906.8719163,0.006742238998413086,0.2871062755584717,0.046915531158447266,192.168.8.63,1743408921.3808327,1743408921.7215967,40,14.849680423736572
SAT_72,1743408907.3728282,0.0021674633026123047,0.08101534843444824,3.8372788429260254,192.168.8.63,1743408922.1783316,1743408926.0987933,40,18.72596502304077
fibonacci_74,1743408908.3745673,0.0023956298828125,0.00022530555725097656,1.001328706741333,192.168.8.63,1743408926.770139,1743408927.7740886,40,19.399521350860596
sieve-eratos_47,1743408894.8488123,0.0029077529907226562,0.05785799026489258,2.728006601333618,192.168.8.140,1743408928.2757642,1743408931.0645366,40,36.21572422981262
correlation_standard_82,1743408912.383566,0.0015206336975097656,0.00015115737915039062,2.740194320678711,192.168.8.63,1743408928.8387475,1743408931.5806136,40,19.1970477104187
string-sort_49,1743408895.851083,0.04648566246032715,1.6774194240570068,9.33592963218689,192.168.8.106,1743408930.345333,1743408941.4051678,40,45.55408477783203
durbin_standard_56,1743408899.358013,0.001439809799194336,0.05507254600524902,0.3994450569152832,192.168.8.140,1743408932.5791323,1743408933.0350897,40,33.67707681655884
sieve-eratos_77,1743408909.8785248,0.0011827945709228516,0.00015735626220703125,2.692462682723999,192.168.8.140,1743408933.1390212,1743408935.832824,40,25.954299211502075
covariance_standard_84,1743408913.3850276,0.001653909683227539,0.0002396106719970703,2.7982285022735596,192.168.8.63,1743408933.6437335,1743408936.4438555,40,23.058827877044678
durbin_standard_86,1743408914.3882697,0.0017955303192138672,0.0002465248107910156,0.4024229049682617,192.168.8.140,1743408936.1527305,1743408936.5571954,40,22.168925762176514
sieve-eratos_107,1743408924.9167976,0.0024156570434570312,0.00016999244689941406,2.7210583686828613,192.168.8.140,1743408936.6572702,1743408939.3809142,40,14.46411657333374
dynprog_standard_89,1743408915.8916867,0.003126382827758789,0.0002880096435546875,0.5821089744567871,192.168.8.63,1743408937.1619847,1743408937.747508,40,21.85582137107849
gramschmidt_standard_90,1743408916.3928764,0.0015232563018798828,0,0.761584997177124,192.168.8.63,1743408938.6706164,1743408939.4337246,40,23.04084825515747
durbin_standard_116,1743408929.4264686,0.0015490055084228516,0.00015997886657714844,0.3863239288330078,192.168.8.140,1743408940.1755388,1743408940.5635717,40,11.137103080749512
quick-sort_48,1743408895.3499367,0.0019066333770751953,0.05144357681274414,18.39578676223755,192.168.8.140,1743408940.6797316,1743408959.1288686,120,63.778931856155396
lu_large_92,1743408917.395377,0.0015685558319091797,0.0002396106719970703,6.73861026763916,192.168.8.63,1743408941.236694,1743408947.9771125,40,30.581735610961914
fdtd-2d_64,1743408903.365433,0.058122873306274414,1.6826741695404053,8.060324668884277,192.168.8.106,1743408941.7417872,1743408951.542909,40,48.177475929260254
envelop_98,1743408920.401526,0.006867885589599609,0.00031948089599609375,0.10672259330749512,192.168.8.63,1743408948.0023434,1743408948.1162534,40,27.7147274017334
fft_99,1743408920.9068391,0.0009162425994873047,0.00014209747314453125,0.018941402435302734,192.168.8.63,1743408948.5135567,1743408948.5335565,40,27.62671732902527
bayes_101,1743408921.9092934,0.006846427917480469,0.0002474784851074219,0.03098464012145996,192.168.8.63,1743408949.0171397,1743408949.0552182,40,27.14592480659485
SAT_102,1743408922.410834,0.0012011528015136719,0.00019049644470214844,3.8788821697235107,192.168.8.63,1743408949.5271962,1743408953.40747,40,30.996635913848877
adi_65,1743408903.8664844,0.11227297782897949,1.5911920070648193,16.669286966323853,192.168.8.106,1743408952.0348485,1743408970.4076004,40,66.5411159992218
