Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743424374.215759,0.048543691635131836,1.971867322921753,205.63340640068054,192.168.8.127,1743424374.2171736,1743424581.870991,120,207.65523195266724
envelop_38,1743424374.717141,0.0014929771423339844,0.06837582588195801,0.10227417945861816,192.168.8.140,1743424376.7499893,1743424376.9221323,40,2.204991340637207
fft_39,1743424375.21822,0.0017230510711669922,0.027475357055664062,0.021555423736572266,192.168.8.140,1743424377.3243752,1743424377.375129,40,2.1569089889526367
bayes_41,1743424376.2214115,0.02296590805053711,0.13981342315673828,0.0283353328704834,192.168.8.140,1743424377.8579297,1743424378.0490444,40,1.8276329040527344
SAT_42,1743424376.7226546,0.004433393478393555,0.04860329627990723,3.7741403579711914,192.168.8.140,1743424378.523457,1743424382.350634,40,5.627979516983032
floyd_43,1743424377.2237082,0.11088752746582031,2.009378433227539,9.826528310775757,192.168.8.82,1743424379.0803893,1743424391.0271835,40,13.803475379943848
fibonacci_44,1743424377.7249203,0.049096107482910156,1.5530502796173096,4.9519431591033936,192.168.8.106,1743424381.7070086,1743424388.2610981,40,10.53617787361145
sieve-eratos_47,1743424379.2274053,0.0017533302307128906,0.05515241622924805,2.6085925102233887,192.168.8.140,1743424383.8286996,1743424386.4941978,40,7.26679253578186
correlation_standard_52,1743424381.7320566,0.005175352096557617,0.0667119026184082,2.5004048347473145,192.168.8.63,1743424384.3898678,1743424386.9621599,40,5.230103254318237
durbin_standard_56,1743424383.7368052,0.0020148754119873047,0.0763092041015625,0.5242950916290283,192.168.8.140,1743424386.9683807,1743424387.5709999,40,3.8341946601867676
covariance_standard_54,1743424382.7338002,0.0014886856079101562,0.07341814041137695,2.1011013984680176,192.168.8.63,1743424387.5497727,1743424389.725781,40,6.991980791091919
quick-sort_48,1743424379.728587,0.003960847854614258,0.0669097900390625,17.996164321899414,192.168.8.140,1743424388.1275494,1743424406.1945844,120,26.465997457504272
string-sort_49,1743424380.2298524,0.11877584457397461,1.782310962677002,10.624293804168701,192.168.8.106,1743424388.702664,1743424401.2280445,40,20.998192071914673
seidel-2d_66,1743424388.74744,0.07584476470947266,1.5924370288848877,76.14163112640381,192.168.8.82,1743424391.1135955,1743424468.9235084,40,80.17606830596924
dynprog_standard_59,1743424385.2411182,0.002835512161254883,0.05548715591430664,0.5793297290802002,192.168.8.63,1743424393.2878542,1743424393.9255066,40,8.684388399124146
gramschmidt_standard_60,1743424385.7426875,0.0026731491088867188,0.0531773567199707,0.6035757064819336,192.168.8.63,1743424394.8517115,1743424395.5111377,40,9.768450260162354
lu_large_62,1743424386.7447984,0.0017397403717041016,0.04803323745727539,6.184613227844238,192.168.8.63,1743424396.4125881,1743424402.6469743,40,15.902175903320312
fdtd-2d_64,1743424387.7462192,0.040143489837646484,2.0171656608581543,9.964888334274292,192.168.8.106,1743424401.9730904,1743424413.995288,40,26.24906873703003
envelop_68,1743424389.7503955,0.0012443065643310547,0.0001747608184814453,0.10179567337036133,192.168.8.63,1743424404.539984,1743424404.6431987,40,14.892803192138672
fft_69,1743424390.2518795,0.0008754730224609375,0.000194549560546875,0.0215761661529541,192.168.8.63,1743424405.043719,1743424405.0663652,40,14.814485788345337
bayes_71,1743424391.2534342,0.008705854415893555,0.0004336833953857422,0.026575803756713867,192.168.8.63,1743424405.5484817,1743424405.584197,40,14.33076286315918
SAT_72,1743424391.7543654,0.0017685890197753906,0.0001575946807861328,3.7268788814544678,192.168.8.63,1743424406.0602517,1743424409.7890568,40,18.034691333770752
sieve-eratos_77,1743424394.2598577,0.00180816650390625,0.00022840499877929688,2.3916594982147217,192.168.8.140,1743424406.563785,1743424408.9574811,40,14.697623491287231
durbin_standard_86,1743424398.7687275,0.0011069774627685547,0.0003914833068847656,0.39661383628845215,192.168.8.140,1743424409.0730667,1743424409.471179,40,10.702451467514038
sieve-eratos_107,1743424409.2950447,0.0024154186248779297,0.00015592575073242188,2.6863834857940674,192.168.8.140,1743424409.577039,1743424412.2659938,40,2.970949172973633
fibonacci_74,1743424392.7564783,0.0017075538635253906,0.06301045417785645,1.0236196517944336,192.168.8.63,1743424410.0824711,1743424411.1708088,40,18.41433048248291
correlation_standard_82,1743424396.7651372,0.0011758804321289062,0.00017642974853515625,2.1157844066619873,192.168.8.63,1743424411.654369,1743424413.7715058,40,17.00636863708496
quick-sort_78,1743424394.7610097,0.0016415119171142578,0.00017690658569335938,18.276646852493286,192.168.8.140,1743424413.1605558,1743424431.439021,120,36.678011417388916
adi_65,1743424388.2465518,0.10944104194641113,1.5634753704071045,18.23650598526001,192.168.8.106,1743424414.667482,1743424434.5769043,40,46.330352544784546
covariance_standard_84,1743424397.7672358,0.0014536380767822266,0.0003330707550048828,2.1842942237854004,192.168.8.63,1743424416.8511434,1743424419.0372243,40,21.269988536834717
dynprog_standard_89,1743424400.2722924,0.0015096664428710938,0.0001895427703857422,0.578930139541626,192.168.8.63,1743424419.360046,1743424419.9406753,40,19.6683828830719
gramschmidt_standard_90,1743424400.773541,0.0013036727905273438,0.0001518726348876953,0.6725847721099854,192.168.8.63,1743424420.867685,1743424421.5417254,40,20.768184423446655
lu_large_92,1743424401.7756114,0.0011875629425048828,0.0002930164337158203,6.518600702285767,192.168.8.63,1743424422.375113,1743424428.8951943,40,27.119582891464233
envelop_98,1743424404.7809818,0.0014793872833251953,0.00021266937255859375,0.09983992576599121,192.168.8.63,1743424428.9068518,1743424429.0083838,40,24.227401971817017
fft_99,1743424405.281623,0.0014269351959228516,0.0002865791320800781,0.01750493049621582,192.168.8.63,1743424429.410965,1743424429.4301834,40,24.148560523986816
bayes_101,1743424406.2843335,0.00897836685180664,0.00019693374633789062,0.03416037559509277,192.168.8.63,1743424429.9162803,1743424429.959616,40,23.67528247833252
SAT_102,1743424406.785868,0.0011212825775146484,0.0001590251922607422,3.8733720779418945,192.168.8.63,1743424430.4282458,1743424434.3028982,40,27.517030239105225
durbin_standard_116,1743424413.8064523,0.0016939640045166016,0.0001571178436279297,0.4426157474517822,192.168.8.140,1743424431.934254,1743424432.3787208,40,18.57226848602295
quick-sort_108,1743424409.795957,0.001316070556640625,0.00015020370483398438,18.926138162612915,192.168.8.140,1743424432.4390836,1743424451.366688,120,41.57073092460632
string-sort_79,1743424395.2619274,0.11792564392089844,0.0002849102020263672,9.168365478515625,192.168.8.106,1743424434.9471016,1743424444.2336776,40,48.971750259399414
fibonacci_104,1743424407.7916198,0.001104116439819336,0.00029587745666503906,1.0111234188079834,192.168.8.63,1743424435.5751498,1743424436.5876732,40,28.796053409576416
correlation_standard_112,1743424411.8025846,0.0017354488372802734,0.00015115737915039062,2.082700729370117,192.168.8.63,1743424437.0814512,1743424439.1660385,40,27.36345386505127
