Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743428560.7236645,0.032862186431884766,0,216.16516852378845,192.168.8.127,1743428560.724925,1743428776.9229558,120,216.19929122924805
envelop_38,1743428561.224687,0.001886129379272461,0.051050662994384766,0.10085535049438477,192.168.8.140,1743428561.429516,1743428561.5833082,40,0.35862112045288086
fft_39,1743428561.7259252,0.0018160343170166016,0.02656841278076172,0.01916813850402832,192.168.8.140,1743428561.985691,1743428562.0332437,40,0.30731844902038574
perceptron_40,1743428562.2271895,0.02595043182373047,0.3997049331665039,35.95387840270996,192.168.8.140,1743428562.5165966,1743428598.8961303,160,36.668940782547
bayes_41,1743428562.7293499,0.4803142547607422,3.218902111053467,0.2665891647338867,192.168.8.82,1743428563.4451818,1743428567.4109874,40,4.681637525558472
floyd_43,1743428563.7323701,0.10635185241699219,2.4727585315704346,9.819862604141235,192.168.8.82,1743428567.6574266,1743428580.0563996,40,16.324029445648193
SAT_42,1743428563.2302682,0.11189723014831543,1.5939052104949951,46.06526041030884,192.168.8.106,1743428570.7469566,1743428618.5180194,40,55.28775119781494
fibonacci_44,1743428564.2334723,0.001552581787109375,0.04460954666137695,0.9843113422393799,192.168.8.63,1743428573.138664,1743428574.1691375,40,9.935665130615234
correlation_standard_52,1743428568.2413378,0.0020837783813476562,0.04502606391906738,1.9254534244537354,192.168.8.63,1743428574.6900334,1743428576.6625967,40,8.421258926391602
covariance_standard_54,1743428569.2425613,0.0032525062561035156,0.04928851127624512,1.8487026691436768,192.168.8.63,1743428577.243556,1743428579.1447997,40,9.902238368988037
dynprog_standard_59,1743428571.7463946,0.0017964839935302734,0.05784487724304199,0.5633485317230225,192.168.8.63,1743428579.802342,1743428580.4253318,40,8.678937196731567
seidel-2d_66,1743428575.252821,0.13819265365600586,1.381819725036621,76.30430436134338,192.168.8.82,1743428580.3648558,1743428658.1891725,40,82.93635153770447
gramschmidt_standard_60,1743428572.2471907,0.0011353492736816406,0,0.5601537227630615,192.168.8.63,1743428582.3915417,1743428582.9528308,40,10.705640077590942
lu_large_62,1743428573.2494123,0.0011181831359863281,0.045188188552856445,6.048723459243774,192.168.8.63,1743428583.8970048,1743428589.9920347,40,16.74262237548828
envelop_68,1743428576.25454,0.004076480865478516,0.000301361083984375,0.09638452529907227,192.168.8.63,1743428590.4541147,1743428590.554877,40,14.300337076187134
fft_69,1743428576.7553334,0.0011289119720458984,0.0004515647888183594,0.018194913864135742,192.168.8.63,1743428590.9616191,1743428590.9813945,40,14.22606110572815
bayes_71,1743428577.7588544,0.014504194259643555,0.14046192169189453,0.028302907943725586,192.168.8.63,1743428591.4658654,1743428591.6491344,40,13.89028000831604
SAT_72,1743428578.259624,0.0022509098052978516,0.05576467514038086,3.98091721534729,192.168.8.63,1743428592.1238728,1743428596.1628056,40,17.903181552886963
fibonacci_74,1743428579.2621381,0.004628419876098633,0.00021791458129882812,1.0004651546478271,192.168.8.63,1743428596.6918206,1743428597.697132,40,18.434993982315063
correlation_standard_82,1743428583.2735689,0.0014340877532958984,0.000152587890625,1.963254690170288,192.168.8.63,1743428598.2013223,1743428600.1661637,40,16.892594814300537
sieve-eratos_47,1743428565.7354548,0.0022051334381103516,0.05361366271972656,2.6729393005371094,192.168.8.140,1743428599.7068338,1743428602.435592,40,36.7001371383667
covariance_standard_84,1743428584.275659,0.0014078617095947266,0.0002410411834716797,2.4968838691711426,192.168.8.63,1743428600.2662244,1743428602.7647572,40,18.489098072052002
durbin_standard_56,1743428570.244302,0.006043672561645508,0.07104730606079102,0.4128150939941406,192.168.8.140,1743428602.7737541,1743428603.2636602,40,33.01935815811157
sieve-eratos_77,1743428580.7651536,0.0017583370208740234,0.00017976760864257812,2.610696315765381,192.168.8.140,1743428603.3543541,1743428605.9669886,40,25.20183491706848
dynprog_standard_89,1743428586.7820404,0.0017728805541992188,0.000247955322265625,0.5863308906555176,192.168.8.63,1743428603.8592324,1743428604.4475842,40,17.665543794631958
gramschmidt_standard_90,1743428587.2830825,0.0026793479919433594,0,0.6716716289520264,192.168.8.63,1743428605.3660278,1743428606.0403788,40,18.757296323776245
durbin_standard_86,1743428585.2783966,0.007437229156494141,0.0003540515899658203,0.393939733505249,192.168.8.140,1743428606.8726382,1743428607.2743692,40,21.995972633361816
sieve-eratos_107,1743428595.8016775,0.004857778549194336,0.0002741813659667969,3.2976443767547607,192.168.8.140,1743428607.3836293,1743428610.6864057,40,14.884728193283081
lu_large_92,1743428588.2849753,0.0037860870361328125,0.0003180503845214844,6.703300476074219,192.168.8.63,1743428607.892414,1743428614.5998187,40,26.31484341621399
