Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743427281.371949,0.05094432830810547,2.800493001937866,216.2539324760437,192.168.8.127,1743427281.3730278,1743427500.4783976,120,219.1064486503601
envelop_38,1743427281.8738182,0.0053863525390625,0.07576155662536621,0.10399460792541504,192.168.8.140,1743427284.8558986,1743427285.0410411,40,3.1672229766845703
fft_39,1743427282.375253,0.004094600677490234,0.05585193634033203,0.023456573486328125,192.168.8.140,1743427285.4413168,1743427285.52472,40,3.1494669914245605
perceptron_40,1743427282.8765917,0.014951944351196289,0.6698768138885498,36.43892526626587,192.168.8.140,1743427286.0050519,1743427323.1288059,160,40.252214193344116
bayes_41,1743427283.3776228,0.43193531036376953,3.985244035720825,0.3729898929595947,192.168.8.82,1743427287.192839,1743427291.9830081,40,8.605385303497314
SAT_42,1743427283.878992,0.12151479721069336,2.1249070167541504,28.768605947494507,192.168.8.82,1743427292.1170156,1743427323.1320434,40,39.25305128097534
fibonacci_44,1743427284.884492,0.051294803619384766,1.411081075668335,6.612710475921631,192.168.8.106,1743427294.8710566,1743427302.946143,40,18.06165099143982
mengtekaluo_46,1743427285.8868196,0.0033147335052490234,0.054181814193725586,9.642056465148926,192.168.8.63,1743427296.844134,1743427306.543687,80,20.656867504119873
PCA_45,1743427285.3855946,0.08866691589355469,2.1098248958587646,237.11047267913818,192.168.8.106,1743427303.4114134,1743427542.720378,160,257.33478331565857
correlation_standard_52,1743427288.8933146,0.001073598861694336,0.04748868942260742,2.124058723449707,192.168.8.63,1743427307.1210911,1743427309.2937121,40,20.400397539138794
covariance_standard_54,1743427289.8982768,0.0017752647399902344,0.04899144172668457,2.0797159671783447,192.168.8.63,1743427309.6749942,1743427311.805477,40,21.90720009803772
dynprog_standard_59,1743427292.401956,0.001360177993774414,0.04827618598937988,0.5717744827270508,192.168.8.63,1743427312.2318087,1743427312.8532195,40,20.451263427734375
gramschmidt_standard_60,1743427292.9032373,0.002409696578979492,0.04802823066711426,0.571629524230957,192.168.8.63,1743427313.7857926,1743427314.40786,40,21.5046226978302
lu_large_62,1743427293.9048383,0.0016243457794189453,0.052221059799194336,6.093108892440796,192.168.8.63,1743427315.340548,1743427321.4875023,40,27.582664012908936
2mm_67,1743427296.4084823,0.003813028335571289,0.04982614517211914,26.060230016708374,192.168.8.63,1743427321.9058566,1743427348.0197258,120,51.61124348640442
floyd_43,1743427284.3806777,0.0013649463653564453,0.030792236328125,2.5700790882110596,192.168.8.140,1743427323.4633641,1743427326.0656004,40,41.68492269515991
string-sort_49,1743427287.3908007,0.10184264183044434,1.7400500774383545,9.4473557472229,192.168.8.82,1743427323.9985366,1743427335.287785,40,47.896984338760376
sieve-eratos_47,1743427286.3882666,0.005685329437255859,0.05538225173950195,2.5784544944763184,192.168.8.140,1743427326.3468704,1743427328.9863925,40,42.59812593460083
quick-sort_48,1743427286.8897867,0.0024077892303466797,0.044718027114868164,17.775978088378906,192.168.8.140,1743427329.9166055,1743427347.7397094,120,60.84992265701294
correlation_large_53,1743427289.3957372,0.12486529350280762,1.5456385612487793,293.2603249549866,192.168.8.82,1743427335.4725482,1743427630.403377,120,341.00763988494873
covariance_large_55,1743427290.3990538,0.004032135009765625,0.04680180549621582,51.53018927574158,192.168.8.140,1743427348.6670969,1743427400.24812,120,109.8490662574768
envelop_68,1743427296.9094322,0.0059049129486083984,0.00023484230041503906,0.10121870040893555,192.168.8.63,1743427349.2212203,1743427349.3285787,40,52.41914653778076
fft_69,1743427297.4104598,0.0012249946594238281,0.0002434253692626953,0.018112897872924805,192.168.8.63,1743427349.7305295,1743427349.7501109,40,52.339651107788086
perceptron_70,1743427297.911568,0.006925344467163086,0.00014710426330566406,36.10537528991699,192.168.8.63,1743427350.2350545,1743427386.3475022,160,88.43593430519104
bayes_71,1743427298.4138215,0.011501550674438477,0.13265776634216309,0.02898263931274414,192.168.8.63,1743427386.7905867,1743427386.9637287,40,88.54990720748901
SAT_72,1743427298.914244,0.0017733573913574219,0.041803598403930664,3.879498243331909,192.168.8.63,1743427387.4375455,1743427391.3606207,40,92.44637680053711
fibonacci_74,1743427299.9168196,0.0034072399139404297,0.042334556579589844,0.9919464588165283,192.168.8.63,1743427391.989269,1743427393.0269573,40,93.11013770103455
mengtekaluo_76,1743427300.9186082,0.0015435218811035156,0.00022172927856445312,9.300437927246094,192.168.8.63,1743427393.5395005,1743427402.8417037,80,101.92309546470642
durbin_standard_56,1743427290.8999846,0.0038514137268066406,0.05455732345581055,0.4126107692718506,192.168.8.140,1743427401.0535183,1743427401.5245378,40,110.62455320358276
gramschmidt_large_61,1743427293.4040258,0.0020635128021240234,0.04744434356689453,44.59165120124817,192.168.8.140,1743427401.6160178,1743427446.2571769,120,152.85315108299255
correlation_standard_82,1743427303.9253893,0.0011222362518310547,0.00018358230590820312,1.994896411895752,192.168.8.63,1743427403.1703417,1743427405.166544,40,101.24115467071533
covariance_standard_84,1743427304.9276376,0.004236936569213867,0.0002543926239013672,2.0205602645874023,192.168.8.63,1743427405.6760323,1743427407.701084,40,102.77344632148743
dynprog_standard_89,1743427307.4328318,0.0013453960418701172,0.00017452239990234375,0.5682032108306885,192.168.8.63,1743427408.186758,1743427408.7564812,40,101.3236494064331
gramschmidt_standard_90,1743427307.934,0.00494837760925293,0.0004029273986816406,0.5628845691680908,192.168.8.63,1743427409.6929522,1743427410.261188,40,102.32718801498413
lu_large_92,1743427308.9356935,0.0016031265258789062,0.0002474784851074219,6.200366735458374,192.168.8.63,1743427411.2032018,1743427417.405419,40,108.46972560882568
2mm_97,1743427311.441257,0.0017247200012207031,0.00017595291137695312,24.92102360725403,192.168.8.63,1743427417.7203677,1743427442.643292,120,131.20203495025635
envelop_98,1743427311.942469,0.001977682113647461,0.0003142356872558594,0.15651917457580566,192.168.8.63,1743427443.260084,1743427443.418895,40,131.47642612457275
fft_99,1743427312.443646,0.001294851303100586,0.00015020370483398438,0.02665400505065918,192.168.8.63,1743427443.7651887,1743427443.7932878,40,131.34964179992676
perceptron_100,1743427312.9447393,0.017986774444580078,0.00022554397583007812,36.53442716598511,192.168.8.63,1743427444.2693148,1743427480.8219543,160,167.87721490859985
lu_extralarge_63,1743427294.4057097,0.0015692710876464844,0.057704925537109375,47.24716305732727,192.168.8.140,1743427446.7930133,1743427494.0994506,300,199.69374084472656
bayes_101,1743427313.445765,0.004552364349365234,0.0003559589385986328,0.042296648025512695,192.168.8.63,1743427481.404986,1743427481.4521909,40,168.00642585754395
SAT_102,1743427313.9462357,0.0015492439270019531,0.0003986358642578125,4.195467710494995,192.168.8.63,1743427481.913056,1743427486.1104715,40,172.164235830307
fibonacci_104,1743427314.9478464,0.0031485557556152344,0.00035858154296875,1.013136625289917,192.168.8.63,1743427486.4242282,1743427487.440872,40,172.49302554130554
mengtekaluo_106,1743427315.950608,0.0025091171264648438,0.00030875205993652344,9.403179407119751,192.168.8.63,1743427487.9322736,1743427497.338271,80,181.38766288757324
fdtd-2d_64,1743427294.9063861,0.001993417739868164,0.050902366638183594,1.528062343597412,192.168.8.140,1743427494.4486568,1743427496.029615,40,201.12322878837585
adi_65,1743427295.4070451,0.0018880367279052734,0.05175352096557617,3.584634304046631,192.168.8.140,1743427497.0075312,1743427500.645807,40,205.23876190185547
correlation_standard_112,1743427318.9576516,0.0014073848724365234,0.00034046173095703125,2.7353882789611816,192.168.8.63,1743427497.5638425,1743427500.3009787,40,181.34332704544067
hash_50,1743427287.8917487,0.16496491432189941,2.29813814163208,24.039098262786865,192.168.8.127,1743427501.0738945,1743427527.5760958,40,239.68434715270996
seidel-2d_66,1743427295.907465,0.004956960678100586,0.04559469223022461,15.24804425239563,192.168.8.140,1743427504.0468142,1743427519.34541,40,223.43794512748718
covariance_standard_114,1743427319.9592683,0.0016772747039794922,0.00016880035400390625,2.170902967453003,192.168.8.63,1743427504.6012757,1743427506.7740247,40,186.81475639343262
dynprog_standard_119,1743427322.4647284,0.0010836124420166016,0.00015354156494140625,0.5840673446655273,192.168.8.63,1743427507.1094446,1743427507.694749,40,185.23002076148987
gramschmidt_standard_120,1743427322.9659822,0.001058816909790039,0.00015425682067871094,0.5769321918487549,192.168.8.63,1743427508.6147318,1743427509.192877,40,186.22689485549927
lu_large_122,1743427323.9681845,0.002422809600830078,0.00033092498779296875,6.334884166717529,192.168.8.63,1743427510.119512,1743427516.45715,40,192.48896551132202
floyd_73,1743427299.415664,0.0011661052703857422,0.00029540061950683594,2.5302300453186035,192.168.8.140,1743427519.6398978,1743427522.1715894,40,222.7559254169464
PCA_75,1743427300.417819,0.005926847457885742,0.054891347885131836,29.830745697021484,192.168.8.140,1743427523.1515524,1743427553.0431163,160,252.62529730796814
TSP_51,1743427288.393097,0.05472612380981445,2.02473783493042,41.145667552948,192.168.8.127,1743427527.7247608,1743427570.9498923,120,282.55679535865784
