Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1743425617.2589626,0.23480796813964844,2.2503650188446045,161.81362199783325,192.168.8.106,1743425617.2609015,1743425781.5596964,120,164.30073380470276
envelop_38,1743425617.760474,0.15675973892211914,1.4485204219818115,0.9760341644287109,192.168.8.127,1743425620.2768507,1743425622.858165,40,5.097691059112549
fft_39,1743425618.2619674,0.003186941146850586,0.05172920227050781,0.021281957626342773,192.168.8.140,1743425622.3910575,1743425622.4672556,40,4.2052881717681885
bayes_41,1743425619.2632875,0.5588114261627197,3.5770182609558105,0.4440133571624756,192.168.8.127,1743425622.9486523,1743425627.5284953,40,8.265207767486572
SAT_42,1743425619.76407,0.10528206825256348,2.0038626194000244,68.81897163391113,192.168.8.127,1743425627.5938284,1743425698.5219448,40,78.75787472724915
floyd_43,1743425620.2651467,0.0016753673553466797,0.03164410591125488,2.5335516929626465,192.168.8.140,1743425630.2137988,1743425632.78067,40,12.515523195266724
fibonacci_44,1743425620.7667067,0.0012094974517822266,0.04267120361328125,0.9533815383911133,192.168.8.63,1743425630.7504067,1743425631.747669,40,10.98096227645874
string-sort_49,1743425623.2707047,0.14751458168029785,1.4522981643676758,9.49571418762207,192.168.8.82,1743425631.2967365,1743425642.3922634,40,19.121558666229248
sieve-eratos_47,1743425622.2693577,0.005711555480957031,0.04451751708984375,2.538940668106079,192.168.8.140,1743425633.402381,1743425635.9915507,40,13.722193002700806
correlation_standard_52,1743425624.7755435,0.0035467147827148438,0.07041382789611816,2.4695985317230225,192.168.8.63,1743425633.955573,1743425636.4991322,40,11.723588705062866
durbin_standard_56,1743425626.7809787,0.0022766590118408203,0.06095576286315918,0.39522290229797363,192.168.8.140,1743425636.536189,1743425636.9946444,40,10.21366572380066
gramschmidt_standard_60,1743425628.7845294,0.001669168472290039,0.0500943660736084,0.5822238922119141,192.168.8.140,1743425637.102372,1743425637.7363594,40,8.95182991027832
covariance_standard_54,1743425625.778498,0.005204200744628906,0.0528409481048584,1.9772217273712158,192.168.8.63,1743425637.6559653,1743425639.6912322,40,13.912734270095825
dynprog_standard_59,1743425628.2836566,0.002593517303466797,0.0536806583404541,0.5842602252960205,192.168.8.140,1743425638.2183042,1743425638.8588386,40,10.57518196105957
lu_large_62,1743425629.7867553,0.0019686222076416016,0.05715751647949219,5.9067816734313965,192.168.8.140,1743425639.7788959,1743425645.7448037,40,15.958048343658447
envelop_68,1743425632.7926495,0.005588054656982422,0.06823039054870605,0.0977323055267334,192.168.8.63,1743425640.341022,1743425640.5125728,40,7.719923257827759
fft_69,1743425633.2942767,0.001382589340209961,0.0002460479736328125,0.01905655860900879,192.168.8.63,1743425640.9183633,1743425640.9390485,40,7.6447718143463135
bayes_71,1743425634.296727,0.21581459045410156,0.15540647506713867,0.04214286804199219,192.168.8.63,1743425641.4239273,1743425641.8372912,40,7.540564298629761
SAT_72,1743425634.7978377,0.0019712448120117188,0.05445599555969238,3.845773458480835,192.168.8.63,1743425642.2987504,1743425646.200951,40,11.40311336517334
fdtd-2d_64,1743425630.7891085,0.11979961395263672,2.4833672046661377,8.66682744026184,192.168.8.82,1743425642.8588922,1743425654.1288865,40,23.339777946472168
adi_65,1743425631.2900147,0.0016021728515625,0.04776954650878906,3.489057779312134,192.168.8.140,1743425645.9699888,1743425649.5084183,40,18.218403577804565
fibonacci_74,1743425635.800291,0.001550436019897461,0.00020956993103027344,0.982607364654541,192.168.8.63,1743425646.5223126,1743425647.50668,40,11.7063889503479
correlation_standard_82,1743425639.8092651,0.0014064311981201172,0.00020313262939453125,2.237725257873535,192.168.8.63,1743425648.0291588,1743425650.2684937,40,10.459228515625
seidel-2d_66,1743425631.7907517,0.002560853958129883,0.04686331748962402,15.227994441986084,192.168.8.140,1743425649.5367942,1743425664.8142128,40,33.02346110343933
covariance_standard_84,1743425640.811727,0.0022580623626708984,0.00016736984252929688,2.086522102355957,192.168.8.63,1743425651.091057,1743425653.1800046,40,12.368277549743652
dynprog_standard_89,1743425643.3195872,0.0012774467468261719,0.0002651214599609375,0.576042652130127,192.168.8.63,1743425653.5986764,1743425654.1762617,40,10.856674432754517
floyd_73,1743425635.299157,0.09441232681274414,1.3775510787963867,9.811120748519897,192.168.8.82,1743425655.1041129,1743425666.387197,40,31.088040113449097
gramschmidt_standard_90,1743425643.8205743,0.0013659000396728516,0.0002505779266357422,0.5757522583007812,192.168.8.63,1743425657.0822597,1743425657.6596284,40,13.839054107666016
lu_large_92,1743425644.8237286,0.0019979476928710938,0.00033164024353027344,6.3020617961883545,192.168.8.63,1743425658.5879354,1743425664.8923268,40,20.06859827041626
sieve-eratos_77,1743425637.3035583,0.0015461444854736328,0.00016570091247558594,2.472573757171631,192.168.8.140,1743425665.1066191,1743425667.5809047,40,30.27734637260437
envelop_98,1743425647.831538,0.001613616943359375,0.0002675056457519531,0.10551047325134277,192.168.8.63,1743425665.6124346,1743425665.7198262,40,17.888288259506226
fft_99,1743425648.3327775,0.001514434814453125,0.0002491474151611328,0.023000478744506836,192.168.8.63,1743425666.1181014,1743425666.1428654,40,17.81008791923523
string-sort_79,1743425638.3057518,0.1361677646636963,0.0002930164337158203,9.604506015777588,192.168.8.82,1743425666.622957,1743425676.3639238,40,38.05817198753357
bayes_101,1743425649.335071,0.015032529830932617,0.0003521442413330078,0.029383182525634766,192.168.8.63,1743425667.2661831,1743425667.310951,40,17.975879907608032
adi_95,1743425646.3274872,0.0016846656799316406,0.00021195411682128906,3.451427698135376,192.168.8.140,1743425667.7842176,1743425671.237542,40,24.910054683685303
SAT_102,1743425649.8368635,0.0008990764617919922,0.00029397010803222656,3.8407225608825684,192.168.8.63,1743425668.2896693,1743425672.131585,40,22.294721364974976
durbin_standard_86,1743425641.8153813,0.0013506412506103516,0.00018978118896484375,0.411848783493042,192.168.8.140,1743425671.799447,1743425672.2128363,40,30.397454977035522
fdtd-2d_94,1743425645.8260565,0.003277301788330078,0.04898524284362793,1.5173678398132324,192.168.8.140,1743425672.3050177,1743425673.874648,40,28.04859161376953
fibonacci_104,1743425650.8387218,0.0043947696685791016,0.00028204917907714844,0.9851136207580566,192.168.8.63,1743425672.860251,1743425673.8500414,40,23.011319637298584
seidel-2d_96,1743425646.829194,0.0020117759704589844,0.00015020370483398438,15.170149803161621,192.168.8.140,1743425674.3700101,1743425689.542322,40,42.713127851486206
correlation_standard_112,1743425654.8473117,0.005964756011962891,0.0003616809844970703,2.1408767700195312,192.168.8.63,1743425674.8744366,1743425677.0216398,40,22.174328088760376
floyd_103,1743425650.3378875,0.10599279403686523,0.0002105236053466797,9.856239795684814,192.168.8.82,1743425676.386131,1743425686.3485742,40,36.01068663597107
covariance_standard_114,1743425655.849757,0.002527952194213867,0.000171661376953125,2.0341930389404297,192.168.8.63,1743425678.0012887,1743425680.0381813,40,24.188424348831177
dynprog_standard_119,1743425658.3564076,0.0033249855041503906,0.00018262863159179688,0.5676894187927246,192.168.8.63,1743425680.5098445,1743425681.0810416,40,22.724633932113647
gramschmidt_standard_120,1743425658.85766,0.0030722618103027344,0.000247955322265625,0.5400633811950684,192.168.8.63,1743425682.0182319,1743425682.5616155,40,23.70395541191101
lu_large_122,1743425659.8608584,0.006336688995361328,0.0003247261047363281,6.201920986175537,192.168.8.63,1743425683.5255122,1743425689.7340946,40,29.873236179351807
string-sort_109,1743425653.3445406,0.09546160697937012,0.00025153160095214844,9.571102380752563,192.168.8.82,1743425687.0405858,1743425696.7074013,40,43.362860679626465
sieve-eratos_107,1743425652.3418279,0.0026047229766845703,0.0001513957977294922,2.4036922454833984,192.168.8.140,1743425689.648118,1743425692.0545664,40,39.71273851394653
mengtekaluo_46,1743425621.7686675,0.0012612342834472656,0.04954814910888672,9.326746702194214,192.168.8.63,1743425690.1551137,1743425699.5326698,80,77.76400232315063
durbin_standard_116,1743425656.8516138,0.0016086101531982422,0.0002930164337158203,0.3934004306793213,192.168.8.140,1743425692.7124662,1743425693.1077683,40,36.25615453720093
fdtd-2d_124,1743425660.8632178,0.0019683837890625,0.00024318695068359375,1.505666971206665,192.168.8.140,1743425693.217148,1743425694.7250266,40,33.86180877685547
adi_125,1743425661.3642485,0.004420757293701172,0.00021791458129882812,3.6569764614105225,192.168.8.140,1743425695.7263424,1743425699.3879576,40,38.0237090587616
seidel-2d_126,1743425661.865386,0.09484004974365234,1.699202060699463,76.3943703174591,192.168.8.82,1743425697.2364342,1743425775.4248466,40,113.55946063995361
hash_50,1743425623.7721553,0.06289410591125488,1.5648574829101562,23.80815052986145,192.168.8.127,1743425699.5368688,1743425724.972771,40,101.20061564445496
mengtekaluo_106,1743425651.8408709,0.0010046958923339844,0.00020122528076171875,9.768836259841919,192.168.8.140,1743425701.6763725,1743425711.4464147,80,59.60554385185242
mengtekaluo_76,1743425636.802678,0.0035300254821777344,0.0002288818359375,9.829021453857422,192.168.8.63,1743425702.179318,1743425712.0120983,80,75.2094202041626
quick-sort_48,1743425622.770338,0.002946138381958008,0.0594635009765625,19.037553071975708,192.168.8.140,1743425711.7014904,1743425730.801453,120,108.03111505508423
2mm_67,1743425632.2919037,0.0038220882415771484,0.04886484146118164,23.337645292282104,192.168.8.63,1743425712.2671978,1743425735.65753,120,103.36562633514404
durbin_large_57,1743425627.2819705,0.10194945335388184,1.6945953369140625,30.329526901245117,192.168.8.127,1743425725.8433464,1743425757.969418,40,130.6874475479126
correlation_large_53,1743425625.2763367,0.0016243457794189453,0.06105685234069824,50.000755310058594,192.168.8.140,1743425731.1547322,1743425781.2181687,120,155.94183206558228
2mm_97,1743425647.330393,0.0029206275939941406,0.0003075599670410156,23.647956132888794,192.168.8.63,1743425735.727196,1743425759.3783803,120,112.04798722267151
hash_80,1743425638.8069327,0.10496211051940918,0.0004296302795410156,23.81059694290161,192.168.8.127,1743425758.2672737,1743425782.1832623,40,143.37632966041565
perceptron_40,1743425618.7623374,0.027245759963989258,0.4425528049468994,36.39253067970276,192.168.8.63,1743425759.884668,1743425796.7469974,160,177.98465991020203
covariance_large_55,1743425626.2798014,0.08244943618774414,1.9783406257629395,292.11881923675537,192.168.8.82,1743425775.8829024,1743426070.0625117,120,443.782710313797
gramschmidt_large_61,1743425629.2858562,0.0044939517974853516,0.05204057693481445,44.00264120101929,192.168.8.140,1743425781.456454,1743425825.5156298,120,196.22977352142334
correlation_large_83,1743425640.3105583,0.04800677299499512,2.029709577560425,354.6962809562683,192.168.8.106,1743425782.0154998,1743426138.7894971,120,498.4789388179779
durbin_large_87,1743425642.3169403,0.0764305591583252,0.0003898143768310547,30.685606241226196,192.168.8.127,1743425784.603733,1743425815.3661597,40,173.0492193698883
perceptron_70,1743425633.795388,0.019855499267578125,0.00016164779663085938,36.62008857727051,192.168.8.63,1743425797.415682,1743425834.0557878,160,200.2603998184204
hash_110,1743425653.8455598,0.11560916900634766,0.00024366378784179688,24.156360864639282,192.168.8.127,1743425815.9641616,1743425840.2363753,40,186.3908154964447
quick-sort_78,1743425637.804718,0.003578662872314453,0.00015497207641601562,18.92482304573059,192.168.8.140,1743425825.6046872,1743425844.533244,120,206.7285258769989
perceptron_100,1743425648.833885,0.012688636779785156,0.00014734268188476562,36.38272166252136,192.168.8.63,1743425834.1211648,1743425870.5167224,160,221.6828374862671
