Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
TSP_37,1743651511.0486753,0.04252147674560547,1.3654780387878418,25.388100147247314,192.168.8.127,1743651511.0770273,1743651537.873127,120,26.824451684951782
lu_large_39,1743651520.5320625,0.003824949264526367,0.06820154190063477,6.125491619110107,192.168.8.140,1743651521.0954835,1743651527.2930017,40,6.760939121246338
gramschmidt_large_38,1743651520.2498844,0.10485482215881348,2.204522132873535,185.47213196754456,192.168.8.82,1743651521.6708753,1743651709.4523842,120,189.2024998664856
quick-sort_42,1743651527.9125712,0.0038268566131591797,0.06711149215698242,17.80702257156372,192.168.8.140,1743651528.5029166,1743651546.3808775,120,18.468306303024292
adi_43,1743651528.9959805,0.0037429332733154297,0.06491732597351074,0.01746535301208496,192.168.8.63,1743651529.0773659,1743651529.1634915,40,0.167510986328125
2mm_44,1743651533.1915133,0.0040721893310546875,0.052382707595825195,24.041216373443604,192.168.8.63,1743651533.6564631,1743651557.7541344,120,24.562621116638184
SAT_48,1743651535.5305197,0.0419306755065918,1.6935365200042725,68.49360513687134,192.168.8.106,1743651536.2202978,1743651606.4493701,40,70.91885042190552
hash_40,1743651520.8694358,0.05145120620727539,1.647031307220459,12.53084659576416,192.168.8.127,1743651538.6040702,1743651552.8333993,40,31.963963508605957
sieve-eratos_45,1743651533.8978133,0.002340555191040039,0.055086612701416016,2.730778694152832,192.168.8.140,1743651546.8215296,1743651549.6097355,40,15.71192216873169
durbin_standard_49,1743651535.8965828,0.0016477108001708984,0.05475497245788574,0.42195868492126465,192.168.8.140,1743651550.3856826,1743651550.864044,40,14.967461109161377
fdtd-2d_47,1743651534.069413,0.002089977264404297,0.05019569396972656,1.6038267612457275,192.168.8.140,1743651550.9448059,1743651552.6009183,40,18.531505346298218
durbin_large_41,1743651524.1910264,0.20059800148010254,2.143014430999756,17.35088014602661,192.168.8.127,1743651553.5016253,1743651573.1961179,40,49.005091428756714
string-sort_50,1743651536.8104672,0.0015492439270019531,0.058301687240600586,5.243314981460571,192.168.8.140,1743651556.3578677,1743651561.6610336,40,24.850566387176514
envelop_51,1743651537.7376697,0.003038644790649414,0.04999852180480957,0.10746121406555176,192.168.8.63,1743651557.9220738,1743651558.0825722,40,20.344902515411377
dynprog_standard_52,1743651539.8917892,0.0021982192993164062,0.04752826690673828,0.5727987289428711,192.168.8.63,1743651558.478392,1743651559.100917,40,19.20912790298462
lu_large_55,1743651544.6833684,0.008960485458374023,0.0001633167266845703,6.206119537353516,192.168.8.63,1743651560.0321093,1743651566.2473526,40,21.563984155654907
adi_57,1743651548.603492,0.0019025802612304688,0.0002455711364746094,3.8981411457061768,192.168.8.140,1743651562.546252,1743651566.4465413,40,17.84304928779602
gramschmidt_standard_59,1743651558.524693,0.0018801689147949219,0.052041053771972656,0.5586886405944824,192.168.8.140,1743651567.056968,1743651567.6695778,40,9.144884824752808
mengtekaluo_56,1743651547.3614979,0.003204345703125,0.04304814338684082,9.282962083816528,192.168.8.63,1743651567.613122,1743651576.9423366,80,29.580838680267334
gramschmidt_large_53,1743651540.3748252,0.00244140625,0.045789480209350586,50.45451545715332,192.168.8.140,1743651568.1622415,1743651618.6649878,120,78.29016256332397
TSP_58,1743651557.9811242,0.1024942398071289,0.0001506805419921875,25.23591923713684,192.168.8.127,1743651573.7197335,1743651599.0582976,120,41.077173471450806
string-sort_64,1743651571.7949111,0.001653432846069336,0.00014543533325195312,0.014170646667480469,192.168.8.63,1743651577.3359268,1743651577.3518963,40,5.556985139846802
correlation_standard_65,1743651571.9809043,0.003054380416870117,0.0485079288482666,1.9304602146148682,192.168.8.63,1743651577.840897,1743651579.8229196,40,7.842015266418457
adi_68,1743651579.769567,0.0010013580322265625,0.0002288818359375,0.014057159423828125,192.168.8.63,1743651580.3983767,1743651580.413664,40,0.644097089767456
correlation_standard_69,1743651580.14171,0.0011491775512695312,0.00016379356384277344,1.9334020614624023,192.168.8.63,1743651580.9023795,1743651582.8370945,40,2.6953845024108887
2mm_61,1743651561.9211302,0.001377105712890625,0.00017213821411132812,22.436701774597168,192.168.8.63,1743651583.4098375,1743651605.8480885,120,43.926958322525024
TSP_60,1743651559.4453707,0.0899350643157959,0.0002810955047607422,25.385907888412476,192.168.8.127,1743651599.9395967,1743651625.4157207,120,65.97035002708435
adi_71,1743651584.8340018,0.002507448196411133,0.00015926361083984375,0.012264251708984375,192.168.8.63,1743651606.5484693,1743651606.5634003,40,21.729398488998413
string-sort_80,1743651606.9092605,0.003489255905151367,0.00023317337036132812,0.012933969497680664,192.168.8.63,1743651607.0546281,1743651607.0712845,40,0.16202402114868164
fft_72,1743651587.318932,0.0017964839935302734,0.030394792556762695,0.017481565475463867,192.168.8.63,1743651607.560915,1743651607.6105878,40,20.291655778884888
dynprog_standard_75,1743651592.1432025,0.0018939971923828125,0.0002434253692626953,0.5639743804931641,192.168.8.63,1743651608.096788,1743651608.6628997,40,16.519697189331055
bayes_78,1743651597.5296214,0.4379563331604004,4.016747713088989,0.5037987232208252,192.168.8.106,1743651608.6022277,1743651613.5607305,40,16.03110909461975
envelop_79,1743651601.569685,0.001209259033203125,0.00019025802612304688,0.10081672668457031,192.168.8.63,1743651613.5659752,1743651613.6681914,40,12.098506450653076
