Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
seidel-2d_37,1743669331.827627,0.054380178451538086,1.9345836639404297,49.066033601760864,192.168.8.127,1743669332.716663,1743669383.7716603,40,51.94403338432312
dynprog_standard_38,1743669332.2880967,0.0028777122497558594,0.05368471145629883,0.5583662986755371,192.168.8.140,1743669335.3242948,1743669335.9392235,40,3.6511268615722656
fft_39,1743669337.6626015,0.0014619827270507812,0.036516427993774414,0.018101215362548828,192.168.8.140,1743669337.8858545,1743669337.941934,40,0.27933263778686523
bayes_40,1743669338.816561,0.010604381561279297,0.15587449073791504,0.033760786056518555,192.168.8.140,1743669339.4279947,1743669339.6282344,40,0.8116734027862549
adi_41,1743669344.5357654,0.00616765022277832,0.056270599365234375,3.5366785526275635,192.168.8.140,1743669345.1047926,1743669348.7039094,40,4.16814398765564
string-sort_42,1743669345.3763309,0.10888314247131348,2.347060203552246,9.445006847381592,192.168.8.82,1743669345.670828,1743669357.5717783,40,12.195447444915771
quick-sort_43,1743669345.5624611,0.002087831497192383,0.042502403259277344,17.964186429977417,192.168.8.140,1743669349.6354434,1743669367.64422,120,22.081758975982666
correlation_standard_44,1743669348.9809005,0.001978158950805664,0.05157065391540527,1.9947071075439453,192.168.8.63,1743669350.1828682,1743669352.2311242,40,3.2502236366271973
fdtd-2d_45,1743669350.144869,0.0026018619537353516,0.048964738845825195,0.017270326614379883,192.168.8.63,1743669352.742451,1743669352.8112879,40,2.6664187908172607
fdtd-2d_46,1743669357.36798,0.1776585578918457,1.9943528175354004,8.72128701210022,192.168.8.82,1743669358.3044004,1743669369.1976988,40,11.829718828201294
string-sort_49,1743669361.9665875,0.00278472900390625,0.0517582893371582,0.01664900779724121,192.168.8.63,1743669361.9853017,1743669362.0564938,40,0.08990621566772461
SAT_50,1743669361.9963746,0.0029845237731933594,0.04597067832946777,3.7506749629974365,192.168.8.63,1743669362.5441666,1743669366.3437967,40,4.347422122955322
quick-sort_47,1743669358.1030517,0.0018184185028076172,0.0002913475036621094,17.695733308792114,192.168.8.140,1743669368.105322,1743669385.803165,120,27.70011329650879
mengtekaluo_52,1743669369.071571,0.08733081817626953,1.8004560470581055,55.58539152145386,192.168.8.82,1743669369.6121557,1743669427.085334,80,58.01376295089722
correlation_standard_53,1743669369.7602174,0.0012035369873046875,0.0002846717834472656,1.95682954788208,192.168.8.63,1743669372.0067317,1743669373.9650495,40,4.204832077026367
SAT_54,1743669370.4340532,0.050122737884521484,1.9261291027069092,64.20204830169678,192.168.8.106,1743669372.5106554,1743669438.6889555,40,68.25490236282349
string-sort_57,1743669375.2935572,0.0020341873168945312,0.0002143383026123047,0.013968229293823242,192.168.8.63,1743669376.0662704,1743669376.082487,40,0.7889299392700195
gramschmidt_standard_59,1743669376.391155,0.003994941711425781,0,0.5449864864349365,192.168.8.63,1743669376.5721047,1743669377.1210861,40,0.729931116104126
dynprog_standard_60,1743669378.0315673,0.001470804214477539,0.00015878677368164062,0.5777807235717773,192.168.8.63,1743669378.080855,1743669378.6602652,40,0.6286978721618652
gramschmidt_large_58,1743669375.6610007,0.005124092102050781,0.04748678207397461,0.017252206802368164,192.168.8.63,1743669379.587166,1743669379.6570292,120,3.996028423309326
gramschmidt_standard_61,1743669379.7255318,0.007666826248168945,0,0.5391385555267334,192.168.8.63,1743669380.1433504,1743669380.6901557,40,0.9646239280700684
