Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
covariance_standard_37,1743658918.0027342,0.10010099411010742,2.004493236541748,35.95087504386902,192.168.8.106,1743658918.9529634,1743658957.0084326,40,39.005698442459106
hash_38,1743658921.8849876,0.04857945442199707,1.454148769378662,21.087972164154053,192.168.8.127,1743658922.6558383,1743658945.2465386,40,23.36155104637146
string-sort_42,1743658928.3334823,0.0015654563903808594,0.05426383018493652,4.99838399887085,192.168.8.140,1743658928.74793,1743658933.8021433,40,5.468661069869995
gramschmidt_standard_41,1743658928.2508962,0.0015075206756591797,0.05306696891784668,0.6028530597686768,192.168.8.63,1743658929.3061335,1743658929.963561,40,1.7126648426055908
floyd_40,1743658926.7440848,0.10090208053588867,1.4822914600372314,9.800315141677856,192.168.8.82,1743658929.8626223,1743658941.246131,40,14.50204610824585
bayes_43,1743658928.8327012,0.01600170135498047,0.15494370460510254,0.027757644653320312,192.168.8.63,1743658931.9523506,1743658932.1510537,40,3.318352460861206
bayes_44,1743658929.4021325,0.007137298583984375,0.0002429485321044922,0.02457284927368164,192.168.8.63,1743658932.6258655,1743658932.6578186,40,3.255686044692993
envelop_45,1743658929.5622497,0.0021271705627441406,0.05304217338562012,0.1013031005859375,192.168.8.63,1743658933.1357272,1743658933.2921996,40,3.729949951171875
SAT_47,1743658932.202468,0.001374959945678711,0.050952911376953125,3.8121213912963867,192.168.8.63,1743658933.693688,1743658937.5581372,40,5.355669260025024
string-sort_48,1743658932.953598,0.0012028217315673828,0.00019359588623046875,4.97086763381958,192.168.8.140,1743658934.2482371,1743658939.2205012,40,6.2669031620025635
SAT_50,1743658936.7707455,0.0015530586242675781,0.00018143653869628906,3.7966525554656982,192.168.8.63,1743658937.7553353,1743658941.5537224,40,4.782976865768433
sieve-eratos_49,1743658936.7057736,0.0025010108947753906,0.053328752517700195,2.518461227416992,192.168.8.140,1743658939.2616682,1743658941.8359592,40,5.130185604095459
quick-sort_46,1743658930.8063884,0.003409147262573242,0.04895925521850586,18.263200759887695,192.168.8.140,1743658944.8288357,1743658963.144405,120,32.338016510009766
hash_39,1743658922.1403894,0.03746914863586426,0.00020647048950195312,18.867210626602173,192.168.8.127,1743658945.384581,1743658964.2894673,40,42.14907789230347
envelop_53,1743658946.9187646,0.001752614974975586,0.0002651214599609375,0.09553694725036621,192.168.8.63,1743658946.9329464,1743658947.0305011,40,0.11173653602600098
bayes_54,1743658948.2921703,0.006518125534057617,0.0002396106719970703,0.026899099349975586,192.168.8.63,1743658948.439522,1743658948.4731789,40,0.18100857734680176
mengtekaluo_55,1743658958.6569366,0.07581257820129395,1.510216474533081,102.44774436950684,192.168.8.106,1743658959.967215,1743659064.0009885,80,105.34405183792114
seidel-2d_56,1743658959.1070766,0.08002591133117676,1.6119608879089355,76.23233795166016,192.168.8.82,1743658962.094809,1743659040.0191338,40,80.91205716133118
hash_51,1743658941.1572483,0.0652613639831543,0.00023865699768066406,19.415136337280273,192.168.8.127,1743658964.2931244,1743658983.7737608,40,42.61651253700256
fdtd-2d_52,1743658944.3778946,0.001569986343383789,0.08917737007141113,1.6757164001464844,192.168.8.140,1743658964.8645706,1743658966.6310344,40,22.25313973426819
covariance_standard_60,1743658965.4534128,0.002073526382446289,0.09981870651245117,2.1798548698425293,192.168.8.63,1743658965.4580984,1743658967.7398455,40,2.2864327430725098
mengtekaluo_58,1743658961.0256014,0.0029108524322509766,0.04733848571777344,9.311076164245605,192.168.8.140,1743658967.0650675,1743658976.426393,80,15.400791645050049
gramschmidt_large_61,1743658965.8679693,0.004250288009643555,0.07289505004882812,0.013618707656860352,192.168.8.63,1743658968.619852,1743658968.710616,120,2.842646837234497
fibonacci_62,1743658969.5895994,0.0032012462615966797,0.058924198150634766,0.9827544689178467,192.168.8.63,1743658970.2018476,1743658971.2467275,40,1.657128095626831
seidel-2d_64,1743658980.2545445,0.0020983219146728516,0.0503535270690918,15.17700743675232,192.168.8.140,1743658980.784142,1743658996.0136013,40,15.759056806564331
SAT_63,1743658977.3947227,0.003532886505126953,0.00026535987854003906,3.8083012104034424,192.168.8.63,1743658981.3393867,1743658985.1514862,40,7.756763458251953
durbin_large_59,1743658964.2497187,0.0755927562713623,2.1145026683807373,25.5559663772583,192.168.8.127,1743658983.8494442,1743659011.595506,40,47.34578728675842
gramschmidt_large_66,1743658980.580475,0.0028688907623291016,0.0002880096435546875,0.015717744827270508,192.168.8.63,1743658986.5492654,1743658986.56814,120,5.9876649379730225
string-sort_67,1743658987.222537,0.002306222915649414,0.0001633167266845703,0.012689590454101562,192.168.8.63,1743658988.055565,1743658988.0707242,40,0.8481872081756592
dynprog_standard_68,1743658989.422133,0.004770994186401367,0.05101776123046875,0.5702991485595703,192.168.8.63,1743658989.561714,1743658990.1878018,40,0.7656688690185547
fdtd-2d_70,1743658990.702422,0.006335258483886719,0.00024366378784179688,0.014579057693481445,192.168.8.63,1743658991.1216671,1743658991.1428251,40,0.4404032230377197
2mm_69,1743658989.835784,0.0017070770263671875,0.05530714988708496,25.387137413024902,192.168.8.63,1743658991.6310034,1743659017.075155,120,27.239371061325073
bayes_71,1743658992.9977007,0.007703065872192383,0.00016999244689941406,0.03192138671875,192.168.8.140,1743658996.1961648,1743658996.2359593,40,3.2382586002349854
seidel-2d_72,1743658993.9029105,0.0011103153228759766,0.00020122528076171875,15.019901990890503,192.168.8.140,1743658996.7064638,1743659011.7276773,40,17.824766874313354
hash_65,1743658980.3087254,0.10515165328979492,0.0003314018249511719,20.1777560710907,192.168.8.127,1743659012.23267,1743659032.5159092,40,52.207183837890625
lu_large_75,1743658996.1145132,0.001425027847290039,0.05668210983276367,6.429576396942139,192.168.8.140,1743659012.8482525,1743659019.335936,40,23.221422910690308
correlation_standard_76,1743659000.782279,0.0037534236907958984,0.0681912899017334,2.2480437755584717,192.168.8.63,1743659017.4147692,1743659019.7347577,40,18.952478647232056
bayes_79,1743659007.4190242,0.0034477710723876953,0.00033211708068847656,0.022297143936157227,192.168.8.140,1743659019.9939396,1743659020.0200167,40,12.600992441177368
seidel-2d_80,1743659008.815531,0.00136566162109375,0.00014472007751464844,15.354892492294312,192.168.8.140,1743659020.5011988,1743659035.8576016,40,27.042070627212524
envelop_84,1743659017.5955868,0.0016722679138183594,0.0003170967102050781,0.09487414360046387,192.168.8.63,1743659021.0055032,1743659021.1023667,40,3.506779909133911
lu_large_85,1743659021.4181643,0.0013213157653808594,0.0003323554992675781,6.211541652679443,192.168.8.63,1743659021.5108037,1743659027.723999,40,6.305834770202637
dynprog_standard_86,1743659025.7415206,0.002824544906616211,0.0004475116729736328,0.5691087245941162,192.168.8.63,1743659028.0237937,1743659028.5961745,40,2.854653835296631
adi_88,1743659028.1653652,0.002539396286010742,0.04601931571960449,0.01703190803527832,192.168.8.63,1743659029.5312102,1743659029.5968008,40,1.4314355850219727
correlation_standard_89,1743659028.182391,0.0017066001892089844,0.0002932548522949219,2.0719752311706543,192.168.8.63,1743659030.0825038,1743659032.156479,40,3.974087953567505
hash_77,1743659005.4684422,0.061569929122924805,0.00016927719116210938,20.217267751693726,192.168.8.127,1743659032.5897038,1743659052.8687108,40,47.4002685546875
gramschmidt_standard_90,1743659031.423347,0.0020418167114257812,0.00016045570373535156,0.5681154727935791,192.168.8.63,1743659033.1602054,1743659033.730523,40,2.307176113128662
mengtekaluo_82,1743659010.9730442,0.0018992424011230469,0.0002429485321044922,9.364374160766602,192.168.8.63,1743659034.6670244,1743659044.0335407,80,33.06049656867981
fft_91,1743659035.354774,0.0021135807037353516,0.03597736358642578,0.019901037216186523,192.168.8.140,1743659036.173387,1743659036.231379,40,0.8766050338745117
gramschmidt_large_73,1743658994.3657863,0.0011248588562011719,0.0002918243408203125,52.53005123138428,192.168.8.140,1743659036.7150528,1743659089.2465208,120,94.88073444366455
gramschmidt_large_83,1743659016.1231472,0.10492587089538574,2.008819580078125,73.31930255889893,192.168.8.82,1743659040.2234492,1743659115.6564972,120,99.53334999084473
correlation_standard_92,1743659040.3203194,0.0017008781433105469,0.00017786026000976562,1.9509382247924805,192.168.8.63,1743659044.8448205,1743659046.7976375,40,6.477318048477173
dynprog_standard_93,1743659041.164281,0.007048606872558594,0.00014829635620117188,0.5640060901641846,192.168.8.63,1743659047.3515856,1743659047.9227886,40,6.75850772857666
string-sort_95,1743659043.137759,0.001992464065551758,0.00031256675720214844,0.014608383178710938,192.168.8.63,1743659048.862573,1743659048.8794863,40,5.741727352142334
durbin_large_78,1743659006.4739122,0.050121307373046875,0.00021839141845703125,24.851033687591553,192.168.8.127,1743659053.3747811,1743659078.2761545,40,71.80224227905273
durbin_large_81,1743659009.796514,0.05928492546081543,0.0003063678741455078,25.942561149597168,192.168.8.127,1743659078.9783568,1743659104.9805093,40,95.1839952468872
quick-sort_94,1743659041.6383297,0.0013988018035888672,0.000286102294921875,17.896424293518066,192.168.8.140,1743659089.5643735,1743659107.4624827,120,65.82415294647217
durbin_large_87,1743659027.9102814,0.11443328857421875,0.0001735687255859375,26.088281393051147,192.168.8.127,1743659105.095434,1743659131.2983222,40,103.38804078102112
seidel-2d_96,1743659046.9080186,0.0019888877868652344,0.0003142356872558594,15.024419784545898,192.168.8.140,1743659107.7235901,1743659122.750313,40,75.84229445457458
quick-sort_74,1743658995.6467032,0.006150484085083008,0.00022220611572265625,17.893691301345825,192.168.8.140,1743659123.2562692,1743659141.1563332,120,145.5096299648285
durbin_extralarge_57,1743658960.2535455,0.07100892066955566,1.797560453414917,88.3617832660675,192.168.8.127,1743659131.779747,1743659222.0100996,300,261.7565541267395
