Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1751004096.2812922,0.05738329887390137,1.9877653121948242,129.7364628314972,192.168.8.127,1751004096.282121,1751004228.0637324,120,131.78244018554688
envelop_38,1751004096.7831712,0.06986808776855469,0.06781864166259766,0.271486759185791,192.168.8.140,1751004098.8595135,1751004099.268687,40,2.485515832901001
fft_39,1751004097.284377,0.0021212100982666016,0.0586543083190918,0.13860678672790527,192.168.8.140,1751004099.5019271,1751004099.7013094,40,2.4169323444366455
bayes_41,1751004098.2875247,0.7182228565216064,0.16089773178100586,0.4717543125152588,192.168.8.140,1751004100.0668244,1751004101.4176993,40,3.1301746368408203
sieve-eratos_47,1751004101.2965472,0.07925748825073242,0.059387922286987305,2.8013548851013184,192.168.8.140,1751004101.4520614,1751004104.3920617,40,3.0955145359039307
SAT_42,1751004098.7892342,0.09200620651245117,1.6252987384796143,29.08075785636902,192.168.8.82,1751004102.095802,1751004132.8938649,40,34.10463070869446
fibonacci_44,1751004099.7919006,0.007082939147949219,0.09863114356994629,1.1107337474822998,192.168.8.63,1751004104.320128,1751004105.5365758,40,5.744675159454346
quick-sort_48,1751004101.7975485,0.07927441596984863,0.08742213249206543,18.200178146362305,192.168.8.140,1751004104.930167,1751004123.2970417,120,21.49949312210083
correlation_standard_52,1751004103.8020864,0.03134322166442871,0.09065914154052734,2.434410333633423,192.168.8.63,1751004105.6011593,1751004108.157572,40,4.355485677719116
covariance_standard_54,1751004104.8032532,0.05106973648071289,0.04722738265991211,2.299135446548462,192.168.8.63,1751004108.2314303,1751004110.6288629,40,5.8256096839904785
dynprog_standard_59,1751004107.3076613,0.04148101806640625,0.055703163146972656,0.750713586807251,192.168.8.63,1751004110.83852,1751004111.6864178,40,4.378756523132324
gramschmidt_standard_60,1751004107.8086567,0.045774221420288086,0.05282878875732422,0.767169713973999,192.168.8.63,1751004112.4438,1751004113.3095727,40,5.500916004180908
lu_large_62,1751004108.8108263,0.06934309005737305,0.05128645896911621,6.287347793579102,192.168.8.63,1751004114.0489311,1751004120.4569085,40,11.646082162857056
envelop_68,1751004111.8170538,0.02996349334716797,0.00015687942504882812,0.29732823371887207,192.168.8.63,1751004120.6885762,1751004121.0160248,40,9.198971033096313
fft_69,1751004112.3179696,0.0012421607971191406,0.0003459453582763672,0.13855814933776855,192.168.8.63,1751004121.2238593,1751004121.3640056,40,9.046036005020142
bayes_71,1751004113.3197656,0.6420824527740479,0.0003108978271484375,0.507857084274292,192.168.8.63,1751004121.7300923,1751004122.8803427,40,9.560577154159546
durbin_standard_56,1751004105.804783,0.1489391326904297,0.056763648986816406,0.9406888484954834,192.168.8.140,1751004123.8802235,1751004125.0266151,40,19.221832036972046
SAT_72,1751004113.8209877,0.0018193721771240234,0.05617690086364746,4.041495323181152,192.168.8.63,1751004124.6188068,1751004128.7182984,40,14.897310733795166
sieve-eratos_77,1751004116.3271477,0.049890756607055664,0.00021076202392578125,2.5771124362945557,192.168.8.140,1751004125.1823528,1751004127.8095667,40,11.48241901397705
durbin_standard_86,1751004120.8412511,0.08844137191772461,0.00018739700317382812,0.5423879623413086,192.168.8.140,1751004128.7441623,1751004129.375179,40,8.533927917480469
fibonacci_74,1751004114.8227856,0.0009722709655761719,0.0002999305725097656,1.1237056255340576,192.168.8.63,1751004129.3378708,1751004130.4628487,40,15.640063047409058
quick-sort_78,1751004116.8288493,0.052017927169799805,0.00022172927856445312,18.281564235687256,192.168.8.140,1751004129.8458152,1751004148.179619,120,31.350769758224487
correlation_standard_82,1751004118.8349824,0.01869511604309082,0.0003330707550048828,2.454697847366333,192.168.8.63,1751004131.4067574,1751004133.8804834,40,15.045500993728638
floyd_43,1751004099.289699,0.10082125663757324,1.7727539539337158,10.082776308059692,192.168.8.82,1751004132.932786,1751004144.8891375,40,45.599438428878784
covariance_standard_84,1751004119.8392675,0.05254650115966797,0.000202178955078125,2.2061522006988525,192.168.8.63,1751004135.3145943,1751004137.5734951,40,17.734227657318115
dynprog_standard_89,1751004122.344616,0.07884693145751953,0.00018906593322753906,0.7172420024871826,192.168.8.63,1751004137.8759732,1751004138.6722512,40,16.327635288238525
gramschmidt_standard_90,1751004122.8455102,0.027965545654296875,0.000148773193359375,0.7772395610809326,192.168.8.63,1751004139.4632144,1751004140.2685683,40,17.423058032989502
lu_large_92,1751004123.8475385,0.07828307151794434,0.0001468658447265625,6.182589292526245,192.168.8.63,1751004140.9975631,1751004147.2585824,40,23.411043882369995
string-sort_49,1751004102.2981522,0.09775805473327637,2.336550235748291,9.739848852157593,192.168.8.82,1751004145.5882857,1751004157.7624428,40,55.464290618896484
fdtd-2d_64,1751004109.8127732,0.06966948509216309,0.061266422271728516,1.7297124862670898,192.168.8.140,1751004148.5307324,1751004150.3913808,40,40.5786075592041
mengtekaluo_46,1751004100.7951734,0.0037488937377929688,0.05419754981994629,9.988098382949829,192.168.8.63,1751004149.166214,1751004159.2122588,80,58.41708540916443
adi_65,1751004110.3137288,0.02761363983154297,0.053095340728759766,3.9564015865325928,192.168.8.140,1751004150.7312057,1751004154.7683163,40,44.45458745956421
