Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1750831579.829312,2.0616466999053955,1.4974958896636963,135.16386485099792,192.168.8.127,1750831579.8313062,1750831718.5543137,120,138.72500157356262
envelop_38,1750831580.3312905,2.8503286838531494,0.062116146087646484,1.6877820491790771,192.168.8.140,1750831583.900312,1750831588.5005388,40,8.169248342514038
fft_39,1750831580.8324847,0.4695007801055908,1.2859139442443848,9.178249835968018,192.168.8.81,1750831587.562489,1750831598.4961536,40,17.663668870925903
sieve-eratos_47,1750831584.8424962,2.087078332901001,0.057263851165771484,6.759850740432739,192.168.8.140,1750831590.241202,1750831599.145395,40,14.30289888381958
bayes_41,1750831581.835797,12.247583866119385,0.15604782104492188,2.8094940185546875,192.168.8.63,1750831592.9552283,1750831608.168354,40,26.33255696296692
durbin_standard_56,1750831589.3534887,2.214271068572998,0.056398868560791016,1.8927769660949707,192.168.8.140,1750831606.1116936,1750831610.2751405,40,20.92165184020996
SAT_42,1750831582.3369257,2.344496488571167,1.8722505569458008,34.82904052734375,192.168.8.81,1750831609.1800766,1750831648.2258642,40,65.88893842697144
sieve-eratos_77,1750831599.8807786,2.136157512664795,0.00021767616271972656,5.097954750061035,192.168.8.140,1750831614.468446,1750831621.702776,40,21.82199740409851
fibonacci_44,1750831583.3391936,0.0017676353454589844,0.06350922584533691,3.717456340789795,192.168.8.63,1750831617.138422,1750831620.9211552,40,37.5819616317749
correlation_standard_52,1750831587.3478985,0.7125241756439209,0.05971574783325195,3.688044786453247,192.168.8.63,1750831620.9493303,1750831625.409615,40,38.06171655654907
durbin_standard_86,1750831604.3935406,1.6989941596984863,0.0004527568817138672,2.1130030155181885,192.168.8.140,1750831622.228954,1750831626.041404,40,21.647863388061523
covariance_standard_54,1750831588.3518195,0.22458577156066895,0.053775787353515625,4.056673049926758,192.168.8.63,1750831625.6608346,1750831629.9958692,40,41.644049644470215
quick-sort_48,1750831585.3437953,2.1518778800964355,0.04415154457092285,19.36587166786194,192.168.8.140,1750831626.4445374,1750831648.0064385,120,62.66264319419861
dynprog_standard_59,1750831590.8578117,0.9400136470794678,0.047560930252075195,1.7767841815948486,192.168.8.63,1750831630.3110082,1750831633.075367,40,42.21755528450012
