Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1750925319.9622972,0.07290959358215332,0,128.96901679039001,192.168.8.127,1750925319.9666994,1750925449.0086257,120,129.0463285446167
envelop_38,1750925320.4634395,0.08133745193481445,0,0.5838854312896729,192.168.8.140,1750925320.6210136,1750925321.2862365,40,0.8227970600128174
fft_39,1750925320.9648147,0.07649827003479004,0,0.8286778926849365,192.168.8.82,1750925321.2110293,1750925322.1162055,40,1.151390790939331
perceptron_40,1750925321.4657989,58.438133239746094,0,39.04146766662598,192.168.8.140,1750925321.793975,1750925419.273576,160,97.80777716636658
bayes_41,1750925321.967422,5.565874338150024,0,1.75590181350708,192.168.8.82,1750925380.7367873,1750925388.0585635,40,66.09114146232605
SAT_42,1750925322.4693618,0.31923604011535645,0,4.264057636260986,192.168.8.63,1750925387.2061,1750925391.7893937,40,69.3200318813324
floyd_43,1750925322.9710903,0.11895561218261719,0,10.133264780044556,192.168.8.82,1750925388.0622303,1750925398.3144507,40,75.34336042404175
fibonacci_44,1750925323.4724119,0.0077724456787109375,0,1.2788326740264893,192.168.8.63,1750925392.7340653,1750925394.0206704,40,70.54825854301453
correlation_standard_52,1750925327.4832022,0.09929227828979492,0,2.466723918914795,192.168.8.63,1750925394.2575097,1750925396.823526,40,69.34032368659973
covariance_standard_54,1750925328.4847198,0.027978897094726562,0,2.1726903915405273,192.168.8.63,1750925396.8836794,1750925399.0843487,40,70.59962892532349
string-sort_49,1750925325.979118,0.15967130661010742,0,9.728424310684204,192.168.8.82,1750925398.4204564,1750925408.308552,40,82.32943391799927
dynprog_standard_59,1750925330.9911904,0.030661821365356445,0,0.8185017108917236,192.168.8.63,1750925399.1041112,1750925399.9532747,40,68.96208429336548
gramschmidt_standard_60,1750925331.492861,0.08439016342163086,0,0.7266159057617188,192.168.8.63,1750925400.6418092,1750925401.4528153,40,69.95995426177979
lu_large_62,1750925332.4956515,0.14694881439208984,0,6.262537479400635,192.168.8.63,1750925402.2359483,1750925408.6454346,40,76.14978313446045
fdtd-2d_64,1750925333.4990742,0.24913811683654785,0,8.695083141326904,192.168.8.82,1750925408.9042861,1750925417.8485074,40,84.34943318367004
envelop_68,1750925335.5045915,0.10968208312988281,0,0.5101158618927002,192.168.8.63,1750925409.6675227,1750925410.2873206,40,74.78272914886475
fft_69,1750925336.0061579,0.04089808464050293,0,0.2709231376647949,192.168.8.63,1750925411.288431,1750925411.6002522,40,75.59409427642822
bayes_71,1750925337.00869,3.442439556121826,0,1.0964524745941162,192.168.8.63,1750925411.8360496,1750925416.3749416,40,79.36625146865845
SAT_72,1750925337.5104628,0.06716489791870117,0,4.025516510009766,192.168.8.63,1750925416.7891808,1750925420.8818622,40,83.37139940261841
adi_65,1750925334.0004854,0.22367310523986816,0,26.2624568939209,192.168.8.82,1750925418.3632686,1750925444.8493986,40,110.84891319274902
sieve-eratos_47,1750925324.976275,0.06184220314025879,0,4.687209367752075,192.168.8.140,1750925420.0992792,1750925424.8483307,40,99.87205576896667
fibonacci_74,1750925338.5138817,0.0016674995422363281,0,1.178861379623413,192.168.8.63,1750925421.6709816,1750925422.8515105,40,84.33762884140015
correlation_standard_82,1750925342.523029,0.05549502372741699,0,2.458994150161743,192.168.8.63,1750925423.1871061,1750925425.7015953,40,83.17856621742249
durbin_standard_56,1750925329.4880931,0.11225414276123047,0,0.5848038196563721,192.168.8.140,1750925425.7548227,1750925426.4518807,40,96.96378755569458
covariance_standard_84,1750925343.525584,0.10941910743713379,0,2.5612103939056396,192.168.8.63,1750925426.3745377,1750925429.0451672,40,85.51958322525024
sieve-eratos_77,1750925340.016599,0.06770539283752441,0,2.8256642818450928,192.168.8.140,1750925426.9960399,1750925429.8894095,40,89.87281060218811
dynprog_standard_89,1750925346.0326016,0.05592226982116699,0,0.8308694362640381,192.168.8.63,1750925429.5788128,1750925430.4656045,40,84.43300294876099
durbin_standard_86,1750925344.5278478,0.052060842514038086,0,0.6483204364776611,192.168.8.140,1750925430.1475024,1750925430.8478837,40,86.32003593444824
gramschmidt_standard_90,1750925346.5332541,0.08047127723693848,0,1.0016167163848877,192.168.8.63,1750925430.7077825,1750925431.7898705,40,85.25661635398865
quick-sort_48,1750925325.4781907,0.022794485092163086,0,19.444722652435303,192.168.8.140,1750925431.3122752,1750925450.7797923,120,125.30160164833069
lu_large_92,1750925347.5353093,0.05373716354370117,0,6.311442852020264,192.168.8.63,1750925431.844256,1750925438.209436,40,90.67412662506104
mengtekaluo_46,1750925324.4753993,0.004054069519042969,0,10.300360918045044,192.168.8.63,1750925438.4276414,1750925448.7320564,80,124.25665712356567
seidel-2d_66,1750925334.5019057,0.14361882209777832,0,81.6612446308136,192.168.8.82,1750925444.9494922,1750925526.7543557,40,192.25244998931885
TSP_51,1750925326.981725,0.1418614387512207,0,25.585840463638306,192.168.8.127,1750925449.6129377,1750925475.3406396,120,148.35891461372375
mengtekaluo_76,1750925339.5156987,0.0007827281951904297,0,9.729182243347168,192.168.8.63,1750925450.2751994,1750925460.0051644,80,120.48946571350098
quick-sort_78,1750925340.518334,0.09037590026855469,0,18.459877252578735,192.168.8.140,1750925450.782642,1750925469.332895,120,128.81456112861633
2mm_67,1750925335.0028977,0.066497802734375,0,26.02314305305481,192.168.8.63,1750925460.4014316,1750925486.4910724,120,151.48817467689514
floyd_73,1750925338.012408,0.07661318778991699,0,2.8546512126922607,192.168.8.140,1750925469.993139,1750925472.9244034,40,134.9119954109192
string-sort_79,1750925341.0192175,0.18576908111572266,0,4.875134229660034,192.168.8.140,1750925473.5846903,1750925478.6455936,40,137.62637615203857
TSP_81,1750925342.0214376,0.12397480010986328,0,25.80482268333435,192.168.8.127,1750925476.288016,1750925502.2168136,120,160.19537591934204
fdtd-2d_94,1750925348.5372567,0.08802676200866699,0,1.7971022129058838,192.168.8.140,1750925478.966941,1750925480.85207,40,132.31481337547302
adi_95,1750925349.0384257,0.03577303886413574,0,3.766890287399292,192.168.8.140,1750925481.587456,1750925485.3901193,40,136.3516936302185
seidel-2d_96,1750925349.5393944,0.0209658145904541,0,15.568849802017212,192.168.8.140,1750925486.1425335,1750925501.7323492,40,152.19295477867126
perceptron_70,1750925336.507205,102.11203908920288,0,57.549676179885864,192.168.8.63,1750925486.6706984,1750925646.3324137,160,309.82520866394043
durbin_extralarge_58,1750925330.4901056,4.628277063369751,0,83.3335189819336,192.168.8.127,1750925589.2879167,1750925677.2497127,300,346.7596070766449
correlation_large_53,1750925327.9837785,6.631219148635864,0,48.30816173553467,192.168.8.140,1750925598.5797613,1750925653.5191422,120,325.5353636741638
covariance_large_55,1750925328.98646,0.7781815528869629,0,109.45705127716064,192.168.8.82,1750925607.7618577,1750925717.9970906,120,389.010630607605
gramschmidt_large_61,1750925331.9940524,0.0419313907623291,0,36.218204975128174,192.168.8.140,1750925654.2621064,1750925690.5222428,120,358.5281903743744
durbin_extralarge_88,1750925345.530959,0.2868223190307617,0,65.08338618278503,192.168.8.127,1750925677.8588781,1750925743.2290866,300,397.69812774658203
correlation_large_83,1750925343.024206,0.036255598068237305,0,43.01220989227295,192.168.8.140,1750925690.694128,1750925733.7425935,120,390.71838760375977
PCA_45,1750925323.9741795,0.09884977340698242,0,234.10865926742554,192.168.8.82,1750925718.2925987,1750925952.5001078,160,628.5259282588959
PCA_75,1750925339.0150967,0.08279871940612793,0,29.616424798965454,192.168.8.140,1750925733.9338036,1750925763.633027,160,424.6179304122925
hash_50,1750925326.4801278,0.08273720741271973,0,16.18914294242859,192.168.8.127,1750925743.542736,1750925759.8146162,40,433.3344883918762
durbin_large_57,1750925329.9890294,0.03705430030822754,0,18.579025745391846,192.168.8.127,1750925760.1709425,1750925778.7870226,40,448.797993183136
covariance_large_85,1750925344.0268137,0.019010066986083984,0,41.772955656051636,192.168.8.140,1750925763.7261653,1750925805.518131,120,461.4913172721863
hash_80,1750925341.5204184,0.08022403717041016,0,14.634725093841553,192.168.8.127,1750925779.2799273,1750925793.9948764,40,452.47445797920227
durbin_large_87,1750925345.0293653,0.09344196319580078,0,22.08560609817505,192.168.8.127,1750925794.9006414,1750925817.0796895,40,472.05032420158386
gramschmidt_large_91,1750925347.0345871,0.021732807159423828,0,36.30308651924133,192.168.8.140,1750925805.5247016,1750925841.849521,120,494.81493377685547
lu_extralarge_63,1750925332.9973345,0.08591127395629883,0,395.7753131389618,192.168.8.127,1750925818.0769367,1750926213.9381611,300,880.9408266544342
lu_extralarge_93,1750925348.0366826,0.06975483894348145,0,45.64924383163452,192.168.8.140,1750925842.7230852,1750925888.4420838,300,540.4054012298584
