Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1750833414.1602674,1.1004152297973633,0,129.46808528900146,192.168.8.127,1750833414.1620216,1750833544.7305222,120,130.57025480270386
envelop_38,1750833414.6620216,3.785938024520874,0,1.6030194759368896,192.168.8.140,1750833415.9510522,1750833421.3400097,40,6.677988052368164
fft_39,1750833415.163758,1.389730453491211,0,3.998948097229004,192.168.8.81,1750833420.4889057,1750833425.8775842,40,10.713826179504395
sieve-eratos_47,1750833419.175628,1.841073751449585,0,5.106334209442139,192.168.8.140,1750833422.9887483,1750833429.9361563,40,10.760528326034546
bayes_41,1750833416.1664407,42.48193430900574,0,6.572017192840576,192.168.8.63,1750833425.55884,1750833474.6127915,40,58.44635081291199
durbin_standard_56,1750833423.68716,3.4855728149414062,0,4.085777759552002,192.168.8.140,1750833468.7674475,1750833476.338798,40,52.65163803100586
SAT_42,1750833416.66833,2.0465266704559326,0,32.44242572784424,192.168.8.81,1750833473.5349038,1750833508.0238562,40,91.35552620887756
sieve-eratos_77,1750833434.2147214,1.7491192817687988,0,6.673482894897461,192.168.8.140,1750833477.1303103,1750833485.5529125,40,51.33819103240967
fibonacci_44,1750833417.6713006,0.0014050006866455078,0,3.27554988861084,192.168.8.63,1750833479.5043175,1750833482.7812724,40,65.10997176170349
correlation_standard_52,1750833421.681632,0.9488520622253418,0,3.7644805908203125,192.168.8.63,1750833483.1030397,1750833487.8163724,40,66.13474035263062
durbin_standard_86,1750833438.7256594,1.9385454654693604,0,1.6786227226257324,192.168.8.140,1750833485.557958,1750833489.175126,40,50.449466705322266
covariance_standard_54,1750833422.684503,1.8601341247558594,0,3.2600107192993164,192.168.8.63,1750833488.1631877,1750833493.2833326,40,70.59882950782776
quick-sort_48,1750833419.6768665,1.2148828506469727,0,20.087352991104126,192.168.8.140,1750833490.7262661,1750833512.028502,120,92.3516354560852
dynprog_standard_59,1750833425.191578,1.0513300895690918,0,2.085469961166382,192.168.8.63,1750833493.7097986,1750833496.8465986,40,71.65502071380615
gramschmidt_standard_60,1750833425.6933687,0.971757173538208,0,2.2086105346679688,192.168.8.63,1750833497.27138,1750833500.4517477,40,74.75837898254395
lu_large_62,1750833426.6964087,0.9980485439300537,0,7.908509016036987,192.168.8.63,1750833500.7505615,1750833509.657119,40,82.96071028709412
floyd_43,1750833417.1701117,0.9478650093078613,0,15.661222696304321,192.168.8.81,1750833508.2689955,1750833524.8780832,40,107.70797157287598
envelop_68,1750833429.7031307,3.8114030361175537,0,2.0737011432647705,192.168.8.63,1750833509.8371687,1750833515.7222729,40,86.0191421508789
quick-sort_78,1750833434.7156174,1.7516422271728516,0,21.90357208251953,192.168.8.140,1750833514.4105551,1750833538.0657694,120,103.35015201568604
fft_69,1750833430.2049954,2.502732276916504,0,1.6256904602050781,192.168.8.63,1750833516.8756695,1750833521.0040922,40,90.79909682273865
bayes_71,1750833431.207292,42.504074573516846,0,4.772261381149292,192.168.8.63,1750833521.1283412,1750833568.4046772,40,137.19738507270813
TSP_51,1750833421.1805053,3.927607536315918,0,27.855300188064575,192.168.8.127,1750833564.1374261,1750833595.9203339,120,174.73982858657837
string-sort_49,1750833420.1779914,1.5670790672302246,0,7.1328818798065186,192.168.8.140,1750833569.0648746,1750833577.7648356,40,157.58684420585632
fdtd-2d_64,1750833427.6986473,2.5935027599334717,0,10.591623067855835,192.168.8.81,1750833571.4312642,1750833584.61639,40,156.917742729187
SAT_72,1750833431.7078476,1.4090015888214111,0,5.617729187011719,192.168.8.63,1750833575.4137976,1750833582.4405284,40,150.7326807975769
adi_65,1750833428.1997116,1.0004158020019531,0,5.235182523727417,192.168.8.140,1750833578.3781767,1750833584.613775,40,156.41406345367432
fibonacci_74,1750833432.7108517,0.001967191696166992,0,2.9093289375305176,192.168.8.63,1750833582.8905532,1750833585.8018494,40,153.09099769592285
seidel-2d_66,1750833428.7008526,0.9417684078216553,0,16.96263837814331,192.168.8.140,1750833585.4044359,1750833603.3088427,40,174.607990026474
floyd_73,1750833432.2090194,2.0837886333465576,0,12.039246082305908,192.168.8.81,1750833586.853378,1750833600.9764128,40,168.7673933506012
correlation_standard_82,1750833436.7205448,2.1160600185394287,0,3.1472880840301514,192.168.8.63,1750833589.8173149,1750833595.080663,40,158.36011815071106
covariance_standard_84,1750833437.7228582,0.9611742496490479,0,5.232224702835083,192.168.8.63,1750833595.5669398,1750833601.7603388,40,164.03748059272766
