Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1751003156.38222,0.08149075508117676,0,129.13350129127502,192.168.8.127,1751003156.3829112,1751003285.5979033,120,129.21568322181702
envelop_38,1751003156.8832157,0.05008125305175781,0.054868221282958984,0.29070115089416504,192.168.8.140,1751003157.0640142,1751003157.4596648,40,0.5764491558074951
fft_39,1751003157.384889,0.0022008419036865234,0.030309438705444336,0.13886284828186035,192.168.8.140,1751003157.674564,1751003157.845937,40,0.4610481262207031
perceptron_40,1751003157.885703,1.8302457332611084,0.41750335693359375,37.16935682296753,192.168.8.140,1751003158.21546,1751003197.632566,160,39.74686288833618
bayes_41,1751003158.3870397,1.379406452178955,3.030665159225464,0.6710660457611084,192.168.8.82,1751003160.969432,1751003166.0505698,40,7.663530111312866
SAT_42,1751003158.8883064,0.002458810806274414,0.05341362953186035,4.072874307632446,192.168.8.63,1751003166.012974,1751003170.1417208,40,11.253414392471313
floyd_43,1751003159.3895867,0.09158039093017578,1.4552457332611084,10.05349850654602,192.168.8.82,1751003166.5778127,1751003178.1781373,40,18.78855061531067
fibonacci_44,1751003159.8906417,0.0020101070404052734,0.04555320739746094,1.1113383769989014,192.168.8.63,1751003170.6351008,1751003171.7940025,40,11.903360843658447
correlation_standard_52,1751003163.9002004,0.06080794334411621,0.04918789863586426,2.038689374923706,192.168.8.63,1751003172.1889057,1751003174.337591,40,10.437390565872192
covariance_standard_54,1751003164.904825,0.07568502426147461,0.04848837852478027,2.0365734100341797,192.168.8.63,1751003174.8064878,1751003176.9672346,40,12.06240963935852
dynprog_standard_59,1751003167.411318,0.08076047897338867,0.04987525939941406,0.7111561298370361,192.168.8.63,1751003177.4371562,1751003178.278948,40,10.867630004882812
string-sort_49,1751003162.3968265,0.10237836837768555,2.1072018146514893,9.682336330413818,192.168.8.82,1751003179.0763152,1751003190.9682317,40,28.571405172348022
gramschmidt_standard_60,1751003167.9121585,0.07933640480041504,0,0.8503577709197998,192.168.8.63,1751003181.792106,1751003182.7218,40,14.809641599655151
lu_large_62,1751003168.9138224,0.049024343490600586,0.04948854446411133,6.134615898132324,192.168.8.63,1751003183.3784761,1751003189.611605,40,20.697782516479492
envelop_68,1751003171.920588,0.024528026580810547,0.00022554397583007812,0.301466703414917,192.168.8.63,1751003189.9956856,1751003190.3219059,40,18.401317834854126
fft_69,1751003172.421248,0.0009288787841796875,0.00015401840209960938,0.13581418991088867,192.168.8.63,1751003190.528051,1751003190.664948,40,18.24370002746582
fdtd-2d_64,1751003169.9162273,0.17593145370483398,1.3838412761688232,8.898372650146484,192.168.8.82,1751003191.0348396,1751003201.492985,40,31.576757669448853
bayes_71,1751003173.4229767,1.3432364463806152,0.25205206871032715,0.41269683837890625,192.168.8.63,1751003193.1007345,1751003195.1087198,40,21.6857430934906
SAT_72,1751003173.9244266,0.0012199878692626953,0.0001552104949951172,4.002282619476318,192.168.8.63,1751003195.2041657,1751003199.2078235,40,25.28339695930481
sieve-eratos_47,1751003161.3946557,0.07071471214294434,0.05886983871459961,2.6437978744506836,192.168.8.140,1751003197.714204,1751003200.4875865,40,39.09293079376221
fibonacci_74,1751003174.9267476,0.0030553340911865234,0.0003380775451660156,1.1464085578918457,192.168.8.63,1751003199.3513024,1751003200.5011044,40,25.5743567943573
durbin_standard_56,1751003165.9072971,0.07885980606079102,0.06722021102905273,0.5355122089385986,192.168.8.140,1751003200.866098,1751003201.5476902,40,35.640393018722534
adi_65,1751003170.4172747,0.1490921974182129,2.020390748977661,26.708362102508545,192.168.8.82,1751003201.516727,1751003230.394572,40,59.97729730606079
sieve-eratos_77,1751003176.4308457,0.07842087745666504,0.00016546249389648438,2.799471855163574,192.168.8.140,1751003204.1931157,1751003207.071174,40,30.64032816886902
correlation_standard_82,1751003178.935221,0.07215046882629395,0.0002608299255371094,2.6620419025421143,192.168.8.63,1751003204.776421,1751003207.5108743,40,28.575653314590454
durbin_standard_86,1751003180.9395738,0.04568767547607422,0.00022912025451660156,0.6378376483917236,192.168.8.140,1751003207.358346,1751003208.0421004,40,27.102526664733887
covariance_standard_84,1751003179.9381263,0.05113530158996582,0.00021266937255859375,2.3341917991638184,192.168.8.63,1751003207.910509,1751003210.2960489,40,30.357922554016113
quick-sort_48,1751003161.8956606,0.08030533790588379,0.07108283042907715,18.93687605857849,192.168.8.140,1751003208.4666288,1751003227.554893,120,65.65923237800598
dynprog_standard_89,1751003182.4430206,0.02794027328491211,0.0001437664031982422,0.767768383026123,192.168.8.63,1751003211.126886,1751003211.9227383,40,29.47971773147583
gramschmidt_standard_90,1751003182.9444625,0.07914853096008301,0,0.8190734386444092,192.168.8.63,1751003212.6620898,1751003213.5603118,40,30.615849256515503
lu_large_92,1751003183.9464366,0.03993654251098633,0.00037407875061035156,6.317828178405762,192.168.8.63,1751003214.2484658,1751003220.6066046,40,36.660167932510376
mengtekaluo_46,1751003160.8929565,0.002077817916870117,0.04621529579162598,9.911925315856934,192.168.8.63,1751003220.808322,1751003230.7685404,80,69.87558388710022
quick-sort_78,1751003176.9313748,0.01812911033630371,0.0002551078796386719,19.093666791915894,192.168.8.140,1751003228.37669,1751003247.488741,120,70.5573661327362
seidel-2d_66,1751003170.9185925,0.10055947303771973,1.8306646347045898,76.54504418373108,192.168.8.82,1751003230.9029422,1751003309.3792105,40,138.460618019104
mengtekaluo_76,1751003175.9301496,0.0022935867309570312,0.0003757476806640625,9.914822101593018,192.168.8.63,1751003233.3401477,1751003243.2576392,80,67.3274896144867
2mm_67,1751003171.4194713,0.019891023635864258,0,24.80493974685669,192.168.8.63,1751003243.8673205,1751003268.6921513,120,97.2726800441742
floyd_73,1751003174.4258375,0.0016732215881347656,0.03979158401489258,2.667698383331299,192.168.8.140,1751003248.4000523,1751003251.1092155,40,76.68337798118591
string-sort_79,1751003177.4319038,0.07174921035766602,0.05925893783569336,5.042471885681152,192.168.8.140,1751003251.9535172,1751003257.1269972,40,79.6950933933258
fdtd-2d_94,1751003184.9478767,0.08203911781311035,0.06184577941894531,1.7871298789978027,192.168.8.140,1751003257.600281,1751003259.5312958,40,74.58341908454895
adi_95,1751003185.4493415,0.0803987979888916,0.07178020477294922,3.924921989440918,192.168.8.140,1751003260.2548556,1751003264.3319566,40,78.8826150894165
seidel-2d_96,1751003185.9507167,0.031543731689453125,0.060973405838012695,15.413796424865723,192.168.8.140,1751003264.923627,1751003280.4299405,40,94.47922372817993
perceptron_70,1751003172.9224432,1.7779631614685059,0.0001437664031982422,39.69608235359192,192.168.8.63,1751003269.5305796,1751003311.0047688,160,138.0823256969452
correlation_large_53,1751003164.4034474,0.06963634490966797,0.07499122619628906,58.35353422164917,192.168.8.140,1751003280.828629,1751003339.3267908,120,174.9233434200287
TSP_51,1751003163.3993757,0.040325164794921875,0,25.112172603607178,192.168.8.127,1751003286.490006,1751003311.6425037,120,148.24312806129456
covariance_large_55,1751003165.406023,0.08902502059936523,1.9608783721923828,136.2347936630249,192.168.8.82,1751003310.0843592,1751003448.3690562,120,282.9630331993103
TSP_81,1751003178.4341605,0.0619816780090332,0,25.09110116958618,192.168.8.127,1751003312.6417184,1751003337.7948012,120,159.36064076423645
durbin_extralarge_58,1751003166.9095886,0.022957324981689453,0,63.67804193496704,192.168.8.127,1751003338.2636023,1751003401.9646015,300,235.05501294136047
gramschmidt_large_61,1751003168.4129536,0.06154942512512207,0.08496689796447754,42.56683421134949,192.168.8.140,1751003339.801194,1751003382.5145445,120,214.1015908718109
correlation_large_83,1751003179.436978,0.03600287437438965,0.00023555755615234375,56.43642854690552,192.168.8.140,1751003382.5424447,1751003439.0151117,120,259.57813358306885
durbin_extralarge_88,1751003181.9415677,0.057573556900024414,0,63.84013080596924,192.168.8.127,1751003402.1211429,1751003466.0188472,300,284.0772795677185
