Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
2mm_37,1750832554.1334293,1.6928737163543701,0,130.63387441635132,192.168.8.127,1750832554.1357725,1750832686.4625206,120,132.3290913105011
envelop_38,1750832554.6348255,1.4667487144470215,0.047661781311035156,1.6252295970916748,192.168.8.140,1750832556.4392517,1750832559.5788918,40,4.944066286087036
fft_39,1750832555.1355312,2.730299472808838,1.332824945449829,6.175214529037476,192.168.8.81,1750832558.645087,1750832568.883426,40,13.747894763946533
sieve-eratos_47,1750832559.1461275,1.9244740009307861,0.052643775939941406,4.56652307510376,192.168.8.140,1750832563.6815932,1750832570.225234,40,11.079106569290161
bayes_41,1750832556.1376443,10.073692321777344,0.15428781509399414,3.845221757888794,192.168.8.63,1750832566.1995287,1750832580.2727306,40,24.13508629798889
durbin_standard_56,1750832563.657739,2.1431691646575928,0.055716753005981445,2.0174026489257812,192.168.8.140,1750832577.2233617,1750832581.4396503,40,17.781911373138428
SAT_42,1750832556.6397138,2.5183308124542236,1.9565956592559814,34.977787733078,192.168.8.81,1750832580.1735811,1750832619.6262953,40,62.986581563949585
sieve-eratos_77,1750832574.184404,1.4357049465179443,0.00017642974853515625,5.233332395553589,192.168.8.140,1750832585.6415176,1750832592.3107314,40,18.126327514648438
fibonacci_44,1750832557.6418831,0.0012197494506835938,0.04856061935424805,3.917301893234253,192.168.8.63,1750832587.814882,1750832591.7819643,40,34.14008116722107
durbin_standard_86,1750832578.6963837,0.7922027111053467,0.00016498565673828125,2.2183656692504883,192.168.8.140,1750832592.559618,1750832595.5703514,40,16.87396764755249
correlation_standard_52,1750832561.6520839,1.6069025993347168,0.05327033996582031,3.686403751373291,192.168.8.63,1750832593.8567743,1750832599.203351,40,37.55126714706421
quick-sort_48,1750832559.647791,1.3219118118286133,0.04517865180969238,19.168808460235596,192.168.8.140,1750832596.2463293,1750832616.7822282,120,57.13443732261658
covariance_standard_54,1750832562.6545146,1.0175271034240723,0.05004596710205078,3.1091978549957275,192.168.8.63,1750832599.3286123,1750832603.5053833,40,40.850868701934814
dynprog_standard_59,1750832565.161943,1.0002670288085938,0.05170726776123047,1.7507660388946533,192.168.8.63,1750832603.9069114,1750832606.7096517,40,41.54770874977112
gramschmidt_standard_60,1750832565.6630402,0.958350419998169,0,2.1996264457702637,192.168.8.63,1750832607.470302,1750832610.628279,40,44.96523880958557
lu_large_62,1750832566.6645572,1.091839075088501,0.04667520523071289,7.33469033241272,192.168.8.63,1750832610.9370034,1750832619.410208,40,52.74565076828003
